,Molecule,Score,admet_smiles
59,EOS58562,-7.448,N[C@H]1CCCN(C(=O)NCCOc2ccc(Cl)cc2)C1
60,EOS58194,-7.247,Cc1n[nH]c(C)c1CCN(C)C(=O)NCC[C@@H]1C[C@@H]2C=C[C@H]1C2
61,EOS58196,-7.478,COCCn1cc(C(O)N2CCC(CNC(=O)c3ccoc3)CC2)cc1O
62,EOS58202,-6.852,COCCN1CCC(C(=O)N(C)CC2CCCCN2C)CC1
63,EOS58204,-12.495,CCn1c(C)cc(C)c(C(=O)NCC2CCOc3ccccc3C2)c1=O
64,EOS58212,-6.759,CCc1ncc(C(=O)NCC(c2ccco2)N(C)C)cn1
65,EOS58213,-7.098,CO[C@H]1CN(C(C)C)C[C@@H]1NC(=O)c1cc(C)oc1C
66,EOS58223,-7.29,CS(=O)(=O)CCC(=O)NC1CCCN(C(=O)c2ccco2)C1
67,EOS58567,-7.8,O=C(CN1CCOCC1)NCCCc1nc2cc(Cl)ccc2[nH]1
68,EOS58568,-6.442,CC1=C(C(=O)N(C)CC2CCOC2)OCCO1
69,EOS58570,-6.433,CCc1ccc(CN(C)C(=O)C(CCSC)NC(C)=O)nc1
70,EOS58573,-7.43,CN1CCN(C(=O)NCCc2cccc(Cl)c2)CC1CCO
71,EOS58224,-7.401,CC1(C)[C@H]2CC=C(CCNC(=O)CCNS(C)(=O)=O)[C@@H]1C2
72,EOS58576,-7.927,CN(C)C(=O)CO[C@@H]1COCC[C@H]1NC(=O)c1cn(C)c2ccccc12
73,EOS58577,-7.015,O=C(NC1CCCN(Cc2cccs2)C1)c1cc[nH]c1
74,EOS58231,-7.103,CO[C@H]1CN(C(C)C)C[C@@H]1NC(=O)c1cccc(-c2nccs2)c1
75,EOS58235,-7.303,CCCc1cc(C(=O)N[C@@H]2CCN(Cc3csc(C)n3)C[C@H]2O)n(C)n1
76,EOS58587,-10.035,CS(=O)(=O)CCC(=O)NCC(c1ccccc1)N1CCCCCC1
77,EOS58238,-9.384,CN1CC(=O)N2CCN(C(=O)NCCCc3nc4ccccc4n3C)CC2C1=O
78,EOS58239,-7.55,Cc1ccnc(CC(C)N(C)C(=O)NCC(C)(C)N2CCOCC2)c1
79,EOS58588,-6.884,Cc1ncsc1CCN(C)C(=O)NCC1CC(=O)N(C(C)C)C1
80,EOS58242,-8.485,CC(C)(C)NC(=O)CCN1CCC2(CCCN(CCCc3ccccc3)C2=O)C1
81,EOS58597,-6.812,CCC(NC(=O)CCCc1ccc(F)cc1)C1CC(O)C1
82,EOS58667,-7.163,CC(=O)c1cc(CN2CCC(C(O)c3nccn3C)CC2)cs1
83,EOS58599,-8.33,COc1cccc2c1OCC(CNC(=O)Cn1nc(C)c(C)cc1=O)C2
84,EOS58253,-8.475,CN1C(=O)CC(C(=O)NCCCc2nc3ccccc3n2C)C1(C)C
85,EOS58260,-7.053,CSCCNC(=O)C1(c2ccccc2)CC12CCCC2
86,EOS58263,-6.593,CCOc1ccc(CCCNC(O)c2cc(O)n(CC)c2)cc1
87,EOS58611,-8.338,Cc1cc2nc(C(=O)NC(c3nccn3C)C3CC3)cc(C)n2n1
88,EOS58268,-8.108,CCCC(C)N1CC2(CCN(C(=O)c3cccnn3)CC2)OC1=O
89,EOS58617,-6.448,COc1cc(Cl)c(CNCCN2CCCC(CO)C2)cc1OC
90,EOS58618,-7.721,COc1cccc2c1OCC(NCc1cc3c(nc1OC)CN(C(C)C)C3=O)C2
91,EOS58273,-8.222,O=C(NCCN1CCCC(CO)C1)c1cccc(C(F)(F)F)c1
92,EOS58675,-6.957,CCCN(Cc1ccc(CC)cc1)C(=O)NCCc1nncn1C
93,EOS58274,-7.033,Cn1c(=O)n(C)c2cc(CNC(=O)COCC3CCCCO3)ccc21
94,EOS58622,-6.98,CCNC(=O)c1ccc(NC(=O)CNC(=O)CC)cc1Cl
95,EOS58275,-8.075,Cc1ccccc1OCC(=O)NC(c1ccc2c(c1)CCO2)C1CC(O)C1
96,EOS58676,-7.764,O=C(CCc1[nH]c(=O)[nH]c1O)NC1CCN(C2CCSCC2)CC1
97,EOS58277,-6.872,CN(Cc1ccc(C(F)(F)F)cc1)C(=O)NCCCCC1CCCO1
98,EOS58278,-7.884,Cc1cc(C)c(C)c(S(=O)(=O)NCCN2CCCCC2CO)c1C
99,EOS58628,-8.092,CC(CCNC(=O)c1cccc(-c2ccc(=O)n(C)n2)c1)N1CCOCC1
100,EOS58629,-7.287,CC(CNC(=O)N(CCO)Cc1ccccc1F)N1CCN(C)CC1
101,EOS58632,-7.839,CN(Cc1nc2cc(Cl)ccc2[nH]1)C(=O)NCCN1CCCOC1=O
102,EOS58634,-7.879,Cc1cc2nc(CCC(=O)N(C)CC3COCCO3)[nH]c2cc1C
103,EOS58288,-8.126,Cn1c(O)c(CC(=O)Nc2ccccc2CN2CCCCC2)n(C)c1=O
104,EOS58291,-12.34,Cc1cc(=O)n(CC(=O)N2CCOc3ccc(CO)cc3C2)nc1C
105,EOS58644,-8.455,Cc1cn2c(=O)cc(CN3CCCC(c4nnc(CO)n4C)C3)nc2s1
106,EOS58683,-6.853,CN(CC1COCCO1)C(=O)CN(C)C1CCNCC1
107,EOS58647,-7.123,Cc1cccc(CC2(NC(=O)CC3CCCOC3)CC2)c1
108,EOS58653,-6.947,CN(C)c1ncc(CNCCN2CCCC(CO)C2)cn1
109,EOS59033,-7.602,Cc1ccc2[nH]c(CNC(=O)CNC(=O)N(C)C)nc2c1
110,EOS58658,-10.82,Cc1cc(CC(C)NC(=O)CCN2CCCCCC2=O)[nH]n1
111,EOS59036,-7.528,CCc1nc(C)c(CNC2C3CN4CCN(C3)CC2(c2ccccc2)C4)[nH]1
112,EOS59039,-6.863,CN1CCN(CCCNC(=O)C(c2cccc(F)c2)N(C)C)CC1
113,EOS59040,-13.029,Cn1nc2n(c1=O)CC(C(=O)NCc1[nH]nc3c1CCCCC3)CC2
114,EOS58691,-8.121,COc1ccc2c(c1)OCC(CNC(=O)c1ccc(C(C)C)n(C)c1=O)C2
