Molecule,Score
Cc1nc2cc(CNC(=O)N3CCCC4(CC3)CNC(=O)O4)ccc2n1Cos,-11.805
CN(C)C1CCC2(CC1)CCN(C(=O)C1CCCCC(=O)N1)CC2os,-11.791
CC(=O)Nc1ccc(NC(=O)Cn2nc3c(cc2=O)CCCCC3)cc1os,-11.777
CC(=O)N1CCc2nnc(C3CCN(Cc4ccc(O)cc4)C3)n2CC1os,-11.768
Cc1cc(=NC2CCCCNC2=O)n2[nH]c(C)cc2n1os,-11.768
O=C(C1CC=CCC1)N1CCN(Cc2nnc3n2CCCCC3)CC1os,-11.766
CN1CCN(CCNC(=O)c2cc3n(n2)CCCN(Cc2ccccc2)C3=O)CC1os,-11.764
Cn1nccc1C(O)c1cc2n(n1)CCCN(C(=O)NC1CCCC1)C2os,-11.76
O=C1NCCCCC1SCc1cccc(C(=O)N2CCCCC2)c1os,-11.747
C[C@@H](CN(C)C(=O)c1ccc2c(c1)C(=O)NCCO2)C1CCCCC1os,-11.747
CC(=O)Nc1ccc(C(=O)NCc2nnc3n2CCCCC3)cc1os,-11.743
CC(C(=O)N1CCC(C(N)=O)CC1)N1CCCc2occc2C1os,-11.737
CCN(CCc1nc2cc(OC)ccc2[nH]1)C(=O)C1CCC(=O)NC(=O)N1os,-11.736
C[C@H]1COc2ccc(C(=O)N3CCCC3)cc2CN1C(=O)c1ccccc1os,-11.735
Cc1cccc(C(=O)NC(C)c2nnc3n2CCCCC3)c1os,-11.734
Cc1ccc(C)c(C(C)NC(=O)CN2CCOc3ccc(CO)cc3C2)c1os,-11.733
Cc1cccc(CN2CCCn3nc(C(=O)NCCN4CCN(C)CC4)cc3C2=O)c1os,-11.732
Cc1cccc(Cl)c1NC(=O)NC1CCCCNC1=Oos,-11.717
Cc1ccc(NC(=O)c2nnc3n2CCOCC3)cc1Cos,-11.717
Cc1ccc(C)c(CNC(=O)C2CCc3n[nH]c(=O)n3CC2)c1os,-11.715
Cc1cc(C)c(NC(=O)Cn2nc3n(c2=O)CCCCC3)c(Cl)c1os,-11.711
O=C(Cn1nc2n(c1=O)CCCCC2)N1CCCC(c2n[nH]c(C3CC3)n2)C1os,-11.708
Cc1c[nH]c(=O)c(CNC(=O)NCc2cccc3c2OCCCO3)c1os,-11.698
Cc1cc(C)cc(C(=O)NC2CCCCNC2=O)c1os,-11.696
CN1CCN(CCNC(=O)c2cc3n(n2)CCCN(Cc2ccc(F)cc2)C3=O)CC1os,-11.695
O=C1CCC(C(=O)NCCSCc2cccc(Cl)c2)NC(=O)N1os,-11.684
C[C@H]1CCN(Cc2cc(=O)n(C)c(=O)n2C)c2ccccc2S1os,-11.684
CN(C)CCNC(=O)c1cc2n(n1)CCCN(Cc1cccc(F)c1)C2=Oos,-11.682
Cc1cc(=O)cc(O)n1CC(=O)N1CCOc2cccc(F)c2C1os,-11.676
Cc1ccc(C#N)cc1NC(=O)NC1CCCCNC1=Oos,-11.655
O=c1n(Cc2nnc3n2CCCCC3)c(O)c2n1CCCC2os,-11.644
Cc1cccc(OCC(=O)NC2CCCCNC2=O)c1os,-11.643
COc1ccc(-n2c(CN3CCCNC(=O)C3C)nc3ccccc32)cc1os,-11.637
O=C(c1ccc(Oc2ccccc2)o1)N1CCCn2nc(C(O)CO)cc2C1os,-11.636
CC(=O)Nc1cccc(NC(=O)Cn2nc3c(cc2=O)CCCCC3)c1os,-11.625
O=C1CN(Cc2nnc3n2CCCCC3)[C@H](c2ccccc2)CN1os,-11.617
O=C(Cn1nccc1C1CCCNC1)N1CCOc2ccc(Cl)cc2C1os,-11.616
