,7nn0_A_fpocket,7nn0_B_fpocket,7nn0_C_fpocket,7nn0_D_fpocket,7nn0_A_p2rank,7nn0_B_p2rank,7nn0_C_p2rank,7nn0_D_p2rank,IoU
149,1,1,1,23,6,2,2,2,0.00252
150,1,1,1,23,6,2,2,4,0.00252
151,1,1,1,23,6,2,3,2,0.00252
152,1,1,1,23,6,2,3,4,0.00252
148,1,1,1,23,2,2,3,4,0.00252
99,1,1,1,10,8,1,1,1,0.002493
97,1,1,1,10,6,2,3,2,0.002493
96,1,1,1,10,6,2,2,4,0.002493
95,1,1,1,10,6,2,2,2,0.002493
94,1,1,1,10,3,2,2,2,0.002493
93,1,1,1,10,2,2,3,4,0.002493
91,1,1,1,10,2,2,2,4,0.002493
90,1,1,1,10,2,2,2,2,0.002493
98,1,1,1,10,6,2,3,4,0.002493
92,1,1,1,10,2,2,3,2,0.002493
129,1,1,1,16,6,2,2,4,0.002457
126,1,1,1,16,2,2,3,4,0.002457
124,1,1,1,16,2,2,2,4,0.002457
130,1,1,1,16,6,2,3,2,0.002457
125,1,1,1,16,2,2,3,2,0.002457
123,1,1,1,16,2,2,2,2,0.002457
127,1,1,1,16,3,2,2,2,0.002457
128,1,1,1,16,6,2,2,2,0.002457
131,1,1,1,16,6,2,3,4,0.002457
158,1,1,1,26,2,2,2,2,0.002445
160,1,1,1,26,2,2,3,2,0.002445
161,1,1,1,26,2,2,3,4,0.002445
162,1,1,1,26,3,2,2,2,0.002445
163,1,1,1,26,6,2,2,2,0.002445
164,1,1,1,26,6,2,2,4,0.002445
165,1,1,1,26,6,2,3,2,0.002445
166,1,1,1,26,6,2,3,4,0.002445
159,1,1,1,26,2,2,2,4,0.002445
100,1,1,1,11,1,1,1,1,0.00242
122,1,1,1,15,6,2,3,4,0.002415
117,1,1,1,15,2,2,3,2,0.002415
118,1,1,1,15,2,2,3,4,0.002415
115,1,1,1,15,2,2,2,2,0.002415
116,1,1,1,15,2,2,2,4,0.002415
121,1,1,1,15,6,2,3,2,0.002415
120,1,1,1,15,6,2,2,4,0.002415
119,1,1,1,15,6,2,2,2,0.002415
170,1,1,1,27,2,2,3,2,0.002363
171,1,1,1,27,2,2,3,4,0.002363
172,1,1,1,27,6,2,2,2,0.002363
173,1,1,1,27,6,2,2,4,0.002363
174,1,1,1,27,6,2,3,2,0.002363
175,1,1,1,27,6,2,3,4,0.002363
169,1,1,1,27,2,2,2,4,0.002363
168,1,1,1,27,2,2,2,2,0.002363
167,1,1,1,27,1,1,1,1,0.002363
