,5rme_A_fpocket,5rme_B_fpocket,5rme_A_p2rank,5rme_B_p2rank,IoU
1780,10,4,3,2,0.010155
126,1,8,4,6,0.0101
1472,8,2,3,2,0.0101
1984,11,11,5,6,0.0101
887,4,16,2,2,0.0101
2659,18,2,2,2,0.0101
2786,19,31,4,11,0.0101
128,1,8,4,13,0.0101
2101,12,17,6,7,0.0101
2709,18,18,3,2,0.0101
595,3,4,3,2,0.0101
127,1,8,4,11,0.0101
1785,10,5,2,10,0.0101
1990,11,11,9,15,0.0101
427,2,14,2,5,0.0101
227,1,25,8,12,0.01005
1476,8,2,4,6,0.01005
498,2,27,3,3,0.01005
1474,8,2,4,2,0.01005
1477,8,2,4,11,0.01005
745,3,19,11,15,0.01005
2658,18,2,1,1,0.01005
382,2,8,4,2,0.01
1341,7,5,1,4,0.01
384,2,8,4,11,0.01
2636,17,29,6,7,0.01
2381,14,14,5,6,0.01
2734,18,28,4,11,0.01
1995,11,12,9,15,0.01
494,2,27,2,3,0.00995
379,2,8,2,7,0.00995
378,2,8,2,6,0.00995
162,1,13,8,12,0.00995
97,1,6,4,2,0.00995
436,2,16,2,2,0.00995
320,2,4,1,3,0.00995
324,2,4,2,3,0.00995
380,2,8,3,2,0.0099
1839,10,10,4,11,0.0099
3219,27,27,4,6,0.0099
491,2,27,1,3,0.0099
1694,8,34,5,15,0.0099
1996,11,12,11,8,0.0099
3258,28,12,8,12,0.0099
421,2,13,2,7,0.0099
1471,8,2,2,6,0.0099
2998,24,6,2,2,0.0099
2118,12,29,6,7,0.0099
431,2,15,2,2,0.0099
2424,14,34,5,15,0.0099
328,2,4,3,3,0.0099
1783,10,5,2,3,0.0099
1348,7,7,5,6,0.0099
1189,6,5,8,13,0.00985
915,4,24,2,10,0.00985
951,5,1,8,13,0.00985
1482,8,2,5,15,0.00985
2820,21,5,3,3,0.00985
914,4,24,2,5,0.00985
3233,28,1,8,13,0.00985
938,5,1,2,3,0.0098
2811,21,4,2,5,0.0098
1493,8,3,2,6,0.0098
912,4,24,2,2,0.0098
132,1,8,5,15,0.0098
1028,5,8,4,6,0.0098
2812,21,4,2,10,0.0098
3125,26,12,11,8,0.0098
2115,12,28,8,12,0.0098
3124,26,12,9,15,0.0098
3126,26,12,11,15,0.0098
2782,19,28,3,3,0.0098
1030,5,8,4,13,0.0098
2613,17,17,2,5,0.0098
1494,8,3,3,2,0.0098
797,3,28,8,12,0.0098
440,2,16,3,3,0.00976
133,1,8,8,12,0.00976
2744,19,2,11,15,0.00976
413,2,11,2,7,0.00976
1025,5,8,3,3,0.00976
434,2,15,3,3,0.00976
2989,24,4,2,10,0.00976
734,3,18,1,1,0.00976
2652,18,1,2,2,0.00976
212,1,23,5,6,0.00976
2988,24,4,2,5,0.00976
2986,24,4,2,2,0.00976
1029,5,8,4,11,0.00976
1478,8,2,4,13,0.00976
3007,24,8,2,2,0.00971
122,1,8,3,2,0.00971
1390,7,12,9,15,0.00971
1428,7,29,6,7,0.00971
679,3,10,4,6,0.00971
1355,7,7,11,8,0.00971
124,1,8,4,2,0.00971
2382,14,14,5,15,0.00971
1354,7,7,9,15,0.00971
592,3,4,2,3,0.00971
1498,8,3,4,6,0.00971
1317,6,34,11,15,0.00971
1496,8,3,4,2,0.00971
677,3,10,4,2,0.00966
673,3,10,2,6,0.00966
1766,10,3,2,10,0.00966
1781,10,4,3,3,0.00966
2327,14,5,2,5,0.00966
1777,10,4,2,3,0.00966
674,3,10,2,10,0.00966
1466,8,2,1,3,0.00966
1764,10,3,2,6,0.00966
1753,10,2,4,2,0.00966
1483,8,2,8,12,0.00966
488,2,26,3,3,0.00966
1526,8,5,4,13,0.00961
2995,24,5,2,10,0.00961
1383,7,11,6,8,0.00961
1524,8,5,4,6,0.00961
2994,24,5,2,5,0.00961
307,2,3,2,6,0.00961
1769,10,3,4,2,0.00957
312,2,3,4,2,0.00957
2992,24,5,2,2,0.00957
1521,8,5,3,3,0.00957
2147,13,2,5,15,0.00957
2666,18,3,2,2,0.00957
1504,8,3,5,15,0.00952
2484,15,15,3,2,0.00952
175,1,15,2,2,0.00952
1754,10,2,4,3,0.00952
1525,8,5,4,11,0.00952
1748,10,2,2,6,0.00952
2268,13,29,6,7,0.00952
832,4,3,3,2,0.00952
544,3,2,2,6,0.00952
1391,7,12,11,8,0.00952
2817,21,5,2,5,0.009476
2818,21,5,2,10,0.009476
3175,27,1,4,13,0.009476
548,3,2,4,2,0.009476
550,3,2,4,6,0.009476
373,2,8,1,3,0.009476
3172,27,1,4,3,0.00944
1033,5,8,8,12,0.00944
2610,17,13,11,8,0.00944
2747,19,3,11,15,0.00944
2050,12,2,5,6,0.00944
2051,12,2,5,15,0.00944
1454,8,1,4,6,0.00944
1455,8,1,4,11,0.00944
1456,8,1,4,13,0.00944
1765,10,3,2,7,0.00944
3286,28,31,4,11,0.00944
2576,17,3,2,10,0.00939
354,2,6,4,11,0.00939
731,3,17,2,10,0.00939
121,1,8,2,6,0.00939
2145,13,2,2,7,0.00939
308,2,3,2,7,0.00939
654,3,8,4,6,0.00939
1770,10,3,4,3,0.00939
1510,8,4,1,3,0.00939
727,3,16,4,3,0.00939
1505,8,3,8,12,0.00939
352,2,6,4,2,0.00939
650,3,8,3,2,0.009346
1750,10,2,2,10,0.009346
649,3,8,2,6,0.009346
2611,17,13,11,15,0.009346
3269,28,18,4,11,0.009346
2609,17,13,9,15,0.009346
1840,10,10,5,2,0.009346
2322,14,4,2,5,0.009346
2156,13,3,2,7,0.0093
2055,12,3,5,6,0.0093
1488,8,3,1,3,0.0093
2158,13,3,5,15,0.0093
2056,12,3,5,15,0.0093
660,3,8,5,15,0.0093
556,3,2,5,15,0.0093
1735,10,1,2,6,0.0093
2665,18,3,1,1,0.0093
712,3,14,8,12,0.0093
609,3,5,4,6,0.0093
1739,10,1,4,2,0.0093
1749,10,2,2,7,0.0093
829,4,3,2,3,0.00926
2270,13,29,9,15,0.00926
2442,15,3,2,2,0.00926
2867,21,21,3,2,0.00926
833,4,3,3,3,0.00926
1529,8,5,8,12,0.00926
2271,13,29,11,6,0.00926
479,2,25,2,2,0.00926
975,5,3,4,6,0.00926
698,3,13,5,15,0.00926
968,5,3,2,3,0.00926
1740,10,1,4,3,0.00926
1430,7,29,9,15,0.00926
2958,23,23,1,1,0.00926
2435,15,2,2,2,0.00926
1736,10,1,2,10,0.00922
301,2,3,1,3,0.00922
1450,8,1,3,2,0.00922
1452,8,1,4,2,0.00922
3293,29,2,2,10,0.00922
652,3,8,4,2,0.00922
3177,27,1,8,13,0.00922
2272,13,29,11,8,0.00917
3088,25,28,4,11,0.00917
1697,8,38,4,11,0.00917
714,3,14,11,15,0.00917
2863,21,21,2,2,0.00917
3176,27,1,8,12,0.00917
2046,12,1,5,6,0.00917
220,1,25,2,2,0.00917
1449,8,1,2,6,0.00917
2577,17,3,6,7,0.00917
1381,7,11,6,4,0.00917
2632,17,26,11,8,0.00917
2047,12,1,5,15,0.00917
1431,7,29,11,8,0.00917
213,1,24,2,2,0.00917
662,3,8,8,12,0.00913
1460,8,1,5,15,0.00913
1461,8,1,8,12,0.00913
538,3,2,1,3,0.00913
1179,6,4,3,2,0.00913
558,3,2,8,12,0.00913
2633,17,26,11,15,0.009094
3272,28,19,8,12,0.009094
722,3,16,2,2,0.009094
3236,28,2,8,12,0.009094
2631,17,26,9,15,0.009094
334,2,5,2,3,0.009094
1985,11,11,6,2,0.009094
1405,7,17,6,8,0.009094
789,3,27,3,3,0.009094
2434,15,1,8,12,0.00905
705,3,14,2,5,0.00905
2294,14,1,8,13,0.00905
2525,16,1,8,12,0.00905
863,4,8,2,5,0.00905
2305,14,2,8,12,0.00905
857,4,6,3,3,0.00905
758,3,23,5,6,0.00901
2010,11,17,6,8,0.00901
749,3,21,2,10,0.00901
644,3,8,1,3,0.00901
748,3,21,2,5,0.00901
1333,7,3,2,7,0.00901
1331,7,3,2,2,0.00901
2428,15,1,2,2,0.00901
1386,7,11,11,8,0.00901
2227,13,13,6,2,0.00901
614,3,5,8,12,0.00897
35,1,2,4,13,0.00897
2981,24,3,2,5,0.00897
33,1,2,4,6,0.00897
1324,7,2,2,7,0.00897
1322,7,2,2,2,0.00897
2982,24,3,2,10,0.00897
31,1,2,4,2,0.00897
2574,17,2,6,7,0.00893
3160,26,29,11,8,0.00893
1842,10,10,6,2,0.00893
2307,14,2,11,15,0.00893
980,5,3,8,12,0.00893
1698,8,38,4,13,0.00893
1180,6,4,3,3,0.00893
1379,7,11,5,6,0.00893
2629,17,26,6,8,0.00893
1411,7,22,1,4,0.00893
1385,7,11,9,15,0.00893
2380,14,14,4,3,0.00893
84,1,5,4,13,0.00889
82,1,5,4,6,0.00889
856,4,6,3,2,0.00889
482,2,25,3,3,0.00889
602,3,5,2,3,0.00889
2317,14,3,8,12,0.00889
2310,14,3,2,5,0.00889
2379,14,14,3,3,0.00885
3266,28,16,4,11,0.00885
2573,17,1,2,10,0.00885
3085,25,25,4,11,0.00885
2295,14,1,11,15,0.00885
1349,7,7,6,2,0.00885
2956,23,22,1,1,0.00885
1173,6,3,8,12,0.00885
2286,14,1,2,5,0.00885
3141,26,17,11,8,0.00885
2962,23,23,6,2,0.00885
782,3,27,1,3,0.00885
2112,12,26,9,15,0.00885
2113,12,26,11,8,0.00885
2114,12,26,11,15,0.00885
2378,14,14,3,2,0.00885
788,3,27,3,2,0.00885
3161,26,29,11,15,0.00885
3159,26,29,9,15,0.00885
1172,6,3,5,6,0.00885
28,1,2,2,6,0.00881
2917,23,3,2,2,0.00881
2093,12,13,9,15,0.00877
2298,14,2,2,5,0.00877
3140,26,17,9,15,0.00877
3122,26,12,6,7,0.00877
2245,13,17,11,8,0.00877
3305,29,9,2,2,0.00877
2138,13,1,5,15,0.00877
2221,13,13,1,1,0.00877
39,1,2,5,15,0.00877
2770,19,18,4,11,0.00877
3239,28,3,8,12,0.00877
3142,26,17,11,15,0.00877
853,4,6,2,3,0.008736
765,3,24,4,3,0.008736
2805,21,3,2,10,0.008736
2804,21,3,2,5,0.008736
2319,14,3,11,15,0.008736
40,1,2,8,12,0.0087
1148,6,1,8,13,0.0087
785,3,27,2,3,0.0087
1146,6,1,5,6,0.0087
2244,13,17,9,15,0.0087
1343,7,7,1,1,0.0087
1696,8,38,4,3,0.0087
88,1,5,8,13,0.00866
1160,6,2,8,12,0.00866
1176,6,4,2,3,0.00866
823,4,2,3,2,0.00866
1159,6,2,5,6,0.00866
2094,12,13,11,6,0.00862
1980,11,11,1,1,0.00862
2095,12,13,11,8,0.00862
2139,13,1,8,12,0.00862
2910,23,2,2,2,0.00862
2077,12,11,9,15,0.00862
1408,7,17,11,8,0.00862
762,3,24,2,10,0.00858
953,5,2,2,3,0.00858
960,5,2,4,6,0.00858
761,3,24,2,5,0.00858
962,5,2,4,13,0.00858
759,3,24,2,2,0.00858
633,3,6,8,12,0.00858
2920,23,3,6,7,0.00858
3268,28,17,8,12,0.008545
3181,27,2,4,13,0.008545
1407,7,17,9,15,0.008545
3306,29,9,2,5,0.008545
1409,7,17,11,15,0.008545
2914,23,2,6,7,0.008545
2078,12,11,11,8,0.008545
3138,26,17,6,8,0.008545
2013,11,17,11,8,0.008545
2570,16,28,4,3,0.008545
2767,19,16,4,11,0.008545
820,4,2,2,3,0.008514
824,4,2,3,3,0.008514
3178,27,2,4,3,0.008514
627,3,6,4,6,0.008514
1940,11,3,2,7,0.008514
76,1,5,2,3,0.00848
2961,23,23,2,7,0.00848
2014,11,17,11,15,0.00848
3054,24,24,6,7,0.00848
2012,11,17,9,15,0.00848
1135,5,38,4,13,0.00848
1726,9,21,12,16,0.00848
526,3,1,4,6,0.00844
1932,11,2,2,7,0.0084
2597,17,11,6,8,0.0084
3090,25,31,4,11,0.0084
3265,28,16,4,3,0.0084
2223,13,13,2,6,0.00833
1134,5,38,4,11,0.00833
2836,21,9,12,16,0.00833
3264,28,16,3,3,0.00833
2705,18,16,4,11,0.00833
1957,11,7,6,8,0.00833
2766,19,16,4,3,0.00833
1922,10,28,4,11,0.00833
625,3,6,4,2,0.00833
2969,24,1,2,10,0.00833
2520,15,28,4,3,0.00833
2031,11,29,6,7,0.00833
2635,17,29,2,10,0.00833
2968,24,1,2,5,0.00833
2966,24,1,2,2,0.0083
965,5,2,8,12,0.0083
524,3,1,4,2,0.00826
2368,14,12,9,8,0.00826
2708,18,18,2,3,0.00826
2714,18,19,4,11,0.00826
3271,28,19,4,11,0.00826
2765,19,16,3,3,0.00826
532,3,1,5,15,0.00823
50,1,3,2,6,0.00823
520,3,1,2,6,0.00823
816,4,1,3,3,0.00823
53,1,3,4,2,0.00823
55,1,3,4,6,0.00823
2792,21,1,2,10,0.008194
2791,21,1,2,5,0.008194
2366,14,12,5,15,0.008194
533,3,1,8,12,0.008194
2034,11,29,11,8,0.00813
1205,6,6,12,16,0.00813
2033,11,29,9,15,0.00813
1401,7,13,9,15,0.00813
2496,15,18,4,3,0.00813
1380,7,11,6,2,0.00813
2099,12,14,9,8,0.00813
73,1,4,3,3,0.008064
1423,7,26,6,8,0.008064
3312,29,17,2,10,0.008064
3081,25,18,4,11,0.008064
1133,5,38,4,3,0.008064
1240,6,12,11,15,0.008064
1397,7,13,5,6,0.008064
2585,17,7,6,8,0.008064
1581,8,8,11,6,0.008064
1402,7,13,11,8,0.008064
815,4,1,3,2,0.008064
2097,12,14,5,15,0.008064
274,2,1,4,2,0.00803
61,1,3,5,15,0.00803
270,2,1,2,6,0.00803
812,4,1,2,3,0.00803
62,1,3,8,12,0.008
2634,17,29,2,5,0.008
1610,8,12,11,6,0.008
2110,12,26,6,7,0.008
1583,8,8,12,16,0.008
1955,11,7,6,4,0.008
1880,10,18,4,11,0.008
2754,19,7,4,11,0.008
2704,18,16,3,3,0.008
3156,26,28,3,3,0.008
1828,10,10,1,1,0.008
1878,10,18,3,2,0.008
1132,5,35,4,11,0.008
2713,18,19,1,1,0.008
1720,9,15,12,16,0.008
3157,26,29,6,7,0.008
2240,13,16,5,6,0.007935
2703,18,15,4,3,0.007935
2600,17,11,11,8,0.007935
2483,15,15,2,3,0.007935
2777,19,21,4,3,0.00787
1375,7,11,1,1,0.00787
1725,9,21,7,9,0.00787
1982,11,11,2,6,0.00787
2599,17,11,9,15,0.00787
1921,10,28,3,3,0.00787
2864,21,21,2,3,0.00787
1960,11,7,11,8,0.00787
2601,17,11,11,15,0.00787
1953,11,7,5,6,0.007812
2758,19,10,4,3,0.007812
3256,28,10,4,11,0.007812
2375,14,14,2,3,0.007812
72,1,4,3,2,0.007812
1959,11,7,9,15,0.007812
3257,28,10,8,12,0.007812
70,1,4,2,3,0.007782
3270,28,19,3,3,0.00775
2759,19,10,4,11,0.00775
3311,29,17,2,5,0.00775
2728,18,25,4,11,0.00775
2210,13,11,9,15,0.00775
1731,9,29,2,10,0.00775
1224,6,9,12,16,0.00775
2549,16,13,5,6,0.00775
1418,7,23,6,4,0.00775
2612,17,14,9,8,0.00775
2835,21,9,7,9,0.00775
2211,13,11,11,8,0.00775
1574,8,8,5,2,0.00775
3052,24,24,3,2,0.00775
3255,28,10,4,3,0.00769
1346,7,7,2,6,0.00769
2757,19,10,3,3,0.00769
2263,13,26,11,8,0.00769
2465,15,7,3,3,0.00769
2764,19,15,4,3,0.00769
2593,17,9,2,5,0.007633
2753,19,7,4,3,0.007633
1426,7,26,11,8,0.007633
1575,8,8,5,3,0.007633
2262,13,26,9,15,0.007633
1204,6,6,11,15,0.007633
2588,17,7,11,8,0.007633
262,1,38,4,11,0.007633
263,1,38,4,13,0.007633
2264,13,26,11,15,0.007633
1198,6,6,4,3,0.007633
2587,17,7,9,15,0.007576
1730,9,29,2,5,0.007576
1425,7,26,9,15,0.007576
1427,7,26,11,15,0.007576
3276,28,25,4,11,0.007576
261,1,38,4,3,0.007576
3045,24,21,6,7,0.007576
3254,28,10,3,3,0.007576
1197,6,6,4,2,0.007576
3087,25,26,7,9,0.007576
2589,17,7,11,15,0.007576
2206,13,11,5,6,0.007576
2697,18,10,4,11,0.00752
2559,16,18,3,3,0.00752
2007,11,13,11,8,0.00752
2006,11,13,9,15,0.00752
1924,10,31,4,11,0.00752
2622,17,21,2,10,0.00752
1722,9,17,2,10,0.00752
1580,8,8,8,13,0.00752
2066,12,7,9,15,0.00752
2494,15,18,3,2,0.00746
1923,10,29,2,10,0.00746
3278,28,26,3,3,0.00746
260,1,35,4,11,0.00746
1721,9,17,2,5,0.00746
1893,10,23,5,6,0.00746
3105,26,7,6,8,0.00741
3083,25,21,7,9,0.00741
2179,13,7,9,15,0.00741
2026,11,26,6,8,0.00741
3308,29,10,2,10,0.00741
2067,12,7,11,8,0.00741
3143,26,18,3,3,0.007355
2175,13,7,5,6,0.007355
1253,6,14,11,15,0.007355
2002,11,13,5,6,0.007355
2954,23,19,1,4,0.007355
3069,24,30,7,9,0.007355
2395,14,17,9,8,0.007355
2180,13,7,11,8,0.007355
2519,15,26,4,3,0.007355
1199,6,6,5,2,0.007355
2701,18,15,3,2,0.007355
3250,28,7,4,11,0.007355
2696,18,10,4,3,0.007355
2731,18,26,3,2,0.007298
1416,7,23,5,6,0.007298
3317,29,26,2,10,0.007298
2900,22,7,1,4,0.007298
2694,18,10,3,2,0.007248
2852,21,15,7,9,0.007248
2853,21,15,12,16,0.007248
2687,18,7,4,11,0.007248
2497,15,19,4,3,0.007248
2621,17,21,2,5,0.007248
3262,28,15,4,3,0.007248
3117,26,11,6,8,0.007248
2727,18,25,4,3,0.007248
1691,8,29,11,6,0.007248
3130,26,13,11,8,0.007248
2109,12,23,6,7,0.007195
2953,23,19,1,1,0.007195
3202,27,7,4,11,0.007195
1954,11,7,6,2,0.007195
3203,27,7,4,13,0.007195
3033,24,17,6,7,0.007195
2420,14,29,5,15,0.007195
3129,26,13,9,15,0.007195
3131,26,13,11,15,0.007195
2235,13,14,5,15,0.007195
1586,8,9,12,16,0.00714
2477,15,10,5,6,0.00714
1193,6,6,2,6,0.00714
3324,30,24,7,9,0.00714
1377,7,11,2,6,0.00714
1250,6,14,5,6,0.00714
3080,25,16,4,11,0.00714
2421,14,29,9,8,0.00714
3313,29,21,2,5,0.00714
1894,10,23,6,2,0.00714
2474,15,10,3,2,0.00709
1315,6,30,7,9,0.00709
1398,7,13,6,2,0.00709
3082,25,19,4,11,0.00709
2780,19,25,4,11,0.00709
2560,16,19,4,3,0.00709
3108,26,7,11,8,0.007042
2029,11,26,11,8,0.007042
2856,21,17,2,10,0.007042
1949,11,7,1,1,0.007042
2237,13,14,9,8,0.007042
2569,16,26,4,3,0.006992
3107,26,7,9,15,0.006992
3132,26,14,9,8,0.006992
2030,11,26,11,15,0.006992
3109,26,7,11,15,0.006992
2478,15,10,8,12,0.006992
2686,18,7,3,3,0.006992
3249,28,7,4,3,0.006992
2028,11,26,9,15,0.006992
2502,15,21,4,3,0.006992
258,1,34,5,15,0.006943
1875,10,17,6,7,0.006943
3212,27,10,4,11,0.006943
1877,10,18,2,3,0.006943
1872,10,16,3,2,0.006943
1314,6,29,11,15,0.006943
2192,13,8,11,6,0.006943
2021,11,23,6,4,0.006943
2513,15,25,4,3,0.006943
3309,29,14,2,2,0.006943
2517,15,26,3,2,0.006943
3201,27,7,4,3,0.006943
2566,16,25,5,6,0.006943
3136,26,16,4,3,0.006943
3049,24,24,2,3,0.006897
1693,8,30,7,9,0.006897
2561,16,21,3,3,0.006897
3248,28,7,3,3,0.006897
1393,7,13,1,1,0.006897
3120,26,11,11,8,0.006897
1417,7,23,6,2,0.006897
2946,23,11,6,4,0.006897
1874,10,16,4,11,0.006897
1584,8,9,2,2,0.006897
2932,23,7,6,4,0.006897
2729,18,26,2,2,0.006897
2725,18,25,3,2,0.006897
2627,17,24,6,7,0.006897
1891,10,23,2,6,0.006897
1688,8,28,8,13,0.00685
2595,17,10,6,7,0.00685
1248,6,14,3,2,0.00685
2562,16,21,4,3,0.00685
3119,26,11,9,15,0.00685
1634,8,15,5,6,0.00685
2717,18,21,3,2,0.00685
1562,8,8,1,11,0.00685
512,2,38,4,11,0.00685
3134,26,15,4,3,0.00685
3121,26,11,11,15,0.00685
2258,13,25,5,6,0.0068
3009,24,9,2,2,0.0068
2855,21,17,2,5,0.0068
3043,24,21,3,2,0.0068
1260,6,15,12,16,0.0068
842,4,4,6,4,0.0068
510,2,35,4,11,0.0068
2733,18,27,1,1,0.0068
3275,28,24,8,13,0.006756
2693,18,10,2,3,0.006756
3321,30,6,7,9,0.006756
3211,27,10,4,6,0.006756
1361,7,8,5,6,0.006756
1919,10,27,4,2,0.006756
1724,9,21,2,10,0.006756
2888,21,26,3,2,0.006756
2950,23,13,6,2,0.006756
1882,10,19,4,11,0.006756
1911,10,26,3,2,0.006756
1871,10,16,2,5,0.006756
3039,24,21,2,2,0.006756
1920,10,27,4,3,0.006756
3077,25,10,4,11,0.006756
3074,25,7,4,11,0.00671
2407,14,26,9,8,0.00671
2198,13,10,5,6,0.00671
1686,8,28,3,3,0.00671
1644,8,16,5,6,0.00671
1130,5,29,5,6,0.00671
2207,13,11,6,2,0.00671
1124,5,28,4,11,0.00671
2191,13,8,9,8,0.006668
2190,13,8,8,12,0.006668
1373,7,10,6,2,0.006668
1717,9,10,2,5,0.006668
2715,18,21,2,2,0.006668
3067,24,29,2,5,0.006668
2779,19,24,4,3,0.006668
509,2,32,6,7,0.006668
2548,16,10,8,12,0.006668
1249,6,14,3,3,0.006622
2500,15,21,3,2,0.006622
1372,7,10,5,6,0.006622
2473,15,10,2,3,0.006622
2941,23,10,6,2,0.006622
2073,12,8,11,6,0.006622
513,2,38,4,13,0.006622
1916,10,27,2,10,0.006622
511,2,38,4,3,0.006622
1887,10,21,3,2,0.006622
2879,21,24,6,7,0.006622
1889,10,21,6,7,0.006622
1637,8,15,12,16,0.006622
2418,14,29,2,2,0.00658
1131,5,31,4,11,0.00658
3064,24,26,3,2,0.00658
3115,26,10,4,3,0.00658
1636,8,15,8,12,0.00658
1883,10,21,2,2,0.00658
1866,10,15,3,2,0.00658
2885,21,26,2,2,0.00658
1908,10,26,2,2,0.00658
2890,21,29,2,5,0.00658
2887,21,26,2,10,0.00658
2019,11,23,5,6,0.00658
250,1,28,4,11,0.00658
1855,10,13,5,6,0.006535
2188,13,8,6,2,0.006535
2176,13,7,6,2,0.006535
1367,7,8,11,15,0.006535
1886,10,21,2,10,0.006535
2515,15,26,2,2,0.006535
1395,7,13,2,6,0.006535
2003,11,13,6,2,0.006535
1618,8,13,11,6,0.006535
1123,5,28,4,3,0.006535
1710,9,6,12,16,0.006535
1645,8,16,8,12,0.006535
1646,8,17,11,15,0.006535
2493,15,18,2,3,0.006535
248,1,28,3,3,0.006535
249,1,28,4,3,0.006535
2511,15,25,3,2,0.006535
2854,21,16,3,3,0.006493
1910,10,26,2,10,0.006493
1643,8,16,4,3,0.006493
1280,6,21,12,16,0.006493
1885,10,21,2,5,0.006493
1681,8,27,4,6,0.006493
1052,5,12,5,6,0.006493
3315,29,24,2,5,0.006493
1312,6,29,2,2,0.006493
2949,23,13,2,7,0.006493
1868,10,15,5,6,0.006493
3273,28,24,4,3,0.006493
1881,10,19,3,3,0.006493
3047,24,23,6,7,0.00645
3063,24,26,2,10,0.00645
2862,21,19,3,3,0.00645
2202,13,11,1,1,0.00645
3032,24,17,2,10,0.00645
1549,8,6,8,13,0.00645
1365,7,8,6,8,0.00645
1606,8,11,5,6,0.00645
1809,10,7,6,2,0.00645
2370,14,13,5,15,0.00645
1600,8,10,5,3,0.00645
2698,18,14,2,2,0.00645
2940,23,10,2,7,0.00645
2845,21,11,7,9,0.00645
2063,12,6,11,15,0.00645
3061,24,26,2,2,0.00641
1682,8,27,4,11,0.00641
2700,18,15,2,3,0.00641
2591,17,8,6,8,0.00641
2171,13,7,1,1,0.00641
1256,6,15,3,2,0.00641
1951,11,7,2,6,0.00641
2201,13,10,8,12,0.00641
1597,8,10,4,11,0.00641
2072,12,8,9,8,0.00641
1712,9,8,12,16,0.00637
1599,8,10,5,2,0.00637
2540,16,7,3,3,0.00637
2340,14,6,5,6,0.00637
2199,13,10,6,2,0.00637
999,5,5,5,3,0.00637
994,5,5,4,2,0.00637
1626,8,14,5,6,0.00637
1421,7,24,6,7,0.00637
2253,13,23,6,2,0.00637
1550,8,6,12,16,0.00637
2498,15,21,2,2,0.00637
1652,8,18,4,3,0.00637
1807,10,7,4,11,0.00637
1362,7,8,6,2,0.00637
1363,7,8,6,4,0.00637
1685,8,27,8,13,0.00637
3322,30,8,7,9,0.00633
2480,15,14,2,2,0.00633
1856,10,13,6,2,0.00633
1849,10,11,6,2,0.00633
3022,24,13,6,7,0.00633
2372,14,13,9,8,0.00633
1684,8,27,8,12,0.00633
1629,8,14,8,13,0.00633
1888,10,21,3,3,0.00633
1267,6,17,2,10,0.00629
3016,24,10,3,2,0.00629
1808,10,7,5,6,0.00629
1654,8,19,11,15,0.00629
2339,14,6,4,3,0.00629
1905,10,25,3,2,0.00629
1617,8,13,8,12,0.00629
1656,8,21,12,16,0.00629
1998,11,13,1,1,0.00629
1870,10,16,2,3,0.00629
2884,21,25,7,9,0.00629
1245,6,14,2,3,0.00629
1119,5,27,4,11,0.00629
1860,10,14,2,5,0.00629
2730,18,26,2,3,0.00629
1264,6,16,3,2,0.00625
1544,8,6,5,2,0.00625
1545,8,6,5,3,0.00625
2338,14,6,3,3,0.00625
2392,14,16,3,3,0.00625
3031,24,17,2,5,0.00625
2020,11,23,6,2,0.00625
1907,10,25,4,11,0.00625
2756,19,8,11,15,0.00625
3006,24,7,6,7,0.00625
992,5,5,3,2,0.00625
1414,7,23,2,6,0.00621
2196,13,10,2,6,0.00621
2256,13,24,6,7,0.00621
2204,13,11,2,6,0.00621
2626,17,24,2,10,0.00621
2184,13,8,2,6,0.00621
2841,21,10,3,2,0.00621
1279,6,21,7,9,0.00621
1627,8,14,5,15,0.00621
1128,5,29,2,5,0.00621
1602,8,10,8,12,0.006172
1127,5,29,2,2,0.006172
1978,11,10,6,2,0.006172
2391,14,16,3,2,0.006172
3020,24,11,6,7,0.006172
1966,11,8,5,6,0.006172
2355,14,9,2,5,0.006172
1653,8,19,3,3,0.006172
2843,21,10,6,7,0.006172
2860,21,18,3,2,0.006172
1862,10,14,3,2,0.006172
1370,7,10,2,6,0.006172
1848,10,11,5,6,0.006172
3018,24,10,6,7,0.006134
2505,15,24,3,2,0.006134
1641,8,16,3,2,0.006134
200,1,18,4,11,0.006134
2337,14,6,3,2,0.006134
3015,24,10,2,10,0.006134
3147,26,24,4,3,0.006134
1977,11,10,5,6,0.006134
1806,10,7,3,3,0.006134
1243,6,13,11,15,0.006134
2365,14,10,8,12,0.006096
1536,8,6,2,6,0.006096
1263,6,16,2,5,0.006096
2389,14,16,2,2,0.006096
3030,24,16,3,3,0.006096
1900,10,24,3,2,0.006096
3036,24,18,3,2,0.006096
1679,8,27,4,2,0.006096
2931,23,7,6,2,0.006096
1237,6,11,2,2,0.006096
199,1,18,4,3,0.006096
2945,23,11,6,2,0.006096
2516,15,26,2,3,0.006096
2877,21,24,3,2,0.006096
2837,21,10,2,2,0.006096
1118,5,27,4,6,0.006096
2850,21,15,3,2,0.006096
1265,6,16,3,3,0.006096
2755,19,8,3,3,0.006096
2858,21,18,2,2,0.00606
2173,13,7,2,6,0.00606
1853,10,13,2,6,0.00606
1236,6,10,8,12,0.00606
1631,8,15,2,2,0.00606
3245,28,6,4,3,0.00606
2840,21,10,2,10,0.00606
1359,7,8,2,6,0.00606
3014,24,10,2,5,0.00606
1271,6,18,3,2,0.00606
2716,18,21,2,3,0.00606
2828,21,7,3,3,0.00606
2721,18,24,3,2,0.00606
1708,9,6,2,5,0.00606
2000,11,13,2,6,0.00606
1670,8,26,3,3,0.00606
