,7nn0_A_fpocket,7nn0_B_fpocket,7nn0_C_fpocket,7nn0_D_fpocket,7nn0_A_p2rank,7nn0_B_p2rank,7nn0_C_p2rank,7nn0_D_p2rank,IoMIN
80,1,1,1,8,2,2,3,4,0.1
82,1,1,1,8,6,2,2,2,0.1
9,1,1,1,1,6,2,3,4,0.1
64,1,1,1,6,6,2,3,4,0.1
13,1,1,1,2,2,2,2,4,0.1
68,1,1,1,7,2,2,2,4,0.1
70,1,1,1,7,2,2,3,4,0.1
71,1,1,1,7,3,2,2,2,0.1
78,1,1,1,8,2,2,2,4,0.1
30,1,1,1,3,6,2,3,2,0.1
73,1,1,1,7,6,2,2,4,0.1
74,1,1,1,7,6,2,3,2,0.1
75,1,1,1,7,6,2,3,4,0.1
72,1,1,1,7,6,2,2,2,0.1
176,1,1,1,29,1,1,1,1,0.1177
114,1,1,1,15,1,1,1,1,0.1177
154,1,1,1,24,1,1,1,1,0.1177
101,1,1,1,12,1,1,1,1,0.1177
10,1,1,1,1,8,1,1,1,0.125
21,1,1,1,2,8,1,1,1,0.125
43,1,1,1,4,8,1,1,1,0.125
156,1,1,1,24,8,1,1,1,0.125
88,1,1,1,9,8,1,1,1,0.125
99,1,1,1,10,8,1,1,1,0.125
86,1,1,1,8,8,1,1,1,0.125
103,1,1,1,13,8,1,1,1,0.125
54,1,1,1,5,8,1,1,1,0.125
141,1,1,1,19,8,1,1,1,0.125
65,1,1,1,6,8,1,1,1,0.125
143,1,1,1,22,8,1,1,1,0.125
153,1,1,1,23,8,1,1,1,0.125
32,1,1,1,3,8,1,1,1,0.125
157,1,1,1,26,1,1,1,1,0.1765
142,1,1,1,22,1,1,1,1,0.2942
87,1,1,1,9,1,1,1,1,0.2942
55,1,1,1,6,1,1,1,1,0.353
66,1,1,1,7,1,1,1,1,0.4119
140,1,1,1,19,1,1,1,1,0.4707
44,1,1,1,5,1,1,1,1,0.5293
102,1,1,1,13,1,1,1,1,0.5293
89,1,1,1,10,1,1,1,1,0.5884
22,1,1,1,3,1,1,1,1,0.5884
76,1,1,1,8,1,1,1,1,0.5884
11,1,1,1,2,1,1,1,1,0.5884
33,1,1,1,4,1,1,1,1,0.5884
0,1,1,1,1,1,1,1,1,0.5884
