,Unnamed: 0,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,eos,rules_sum,scores_sum,warning_scores,warning_PAINS
49987,4051,COc1ccccc1CC(=O)NCCN1CCCC[C@@H]1C,-1.69,2.109,2.07,0.011,0.551,0.006,0.332,0.011,-4.616,3.46477645507548e-05,0.921,42.20229721069336%,1.963,42.69572067260742%,0.039,0.391,0.102,0.937,0.011,0.159,0.944,0.849,0.104,0.691,9.854,0.844,0.103,0.571,0.088,0.039,0.11,0.086,0.413,0.084,0.003,0.019,0.481,0.478,2.45,3.09,3.338,0.268,0.003,0.02,0.006,0.254,0.018,0.006,0.119,0.009,0.007,0.008,0.007,290.2,314.503,0.923,4,1,41.57,7,2,6,4,0,13,0.538,1,0,0,0,0,0,0,0,0,0.873,2.356,0.588,37.074,-1.391,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS50103,4,16,,None
49992,4056,CCN(CC(=O)N[C@H]1CCS(=O)(=O)C1)Cc1ccccc1C,-1.637,1.353,0.107,0.004,0.015,0.445,0.11,0.283,-5.852,5.978349145152606e-05,0.809,45.593013763427734%,1.092,62.53437423706055%,0.042,0.118,0.072,0.689,0.032,0.186,0.079,0.19,0.074,0.76,9.906,0.873,0.153,0.321,0.187,0.027,0.131,0.077,0.543,0.15,0.003,0.037,0.293,0.283,2.089,2.657,3.104,0.012,0.006,0.008,0.003,0.195,0.446,0.243,0.214,0.021,0.017,0.008,0.056,324.15,324.507,0.999,5,1,66.48,7,2,6,6,0,14,0.5,1,0,0,0,0,1,0,0,2,0.851,2.662,0.562,46.48,-2.426,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS48030,4,16,,None
49993,4057,COc1ccccc1CNC(=O)CNC[C@H]1CCCO1,-0.583,1.234,1.099,0.001,0.182,0.004,0.003,0.008,-5.058,2.3965538275660947e-05,0.834,26.90053939819336%,1.815,45.6907844543457%,0.07,0.102,0.101,0.862,0.01,0.07,0.171,0.271,0.286,0.212,7.488,0.819,0.353,0.593,0.063,0.179,0.083,0.884,0.712,0.059,0.006,0.014,0.547,0.464,2.676,2.893,3.605,0.066,0.006,0.018,0.006,0.105,0.004,0.006,0.106,0.007,0.087,0.013,0.011,278.16,288.702,0.963,5,2,59.59,8,2,6,5,0,12,0.667,1,0,0,0,0,1,1,0,1,0.783,2.393,0.533,33.478,-1.053,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS49777,4,16,,None
49999,4063,CC(=O)N[C@H]1CCCN(C(=O)NCCc2cn3ccccc3n2)C1,-1.206,0.552,-0.015,0.001,0.989,0.342,0.906,0.947,-5.572,8.199409421649761e-06,0.658,37.52214813232422%,0.978,64.31790924072266%,0.054,0.146,0.06,0.066,0.034,0.084,0.024,0.374,0.078,0.148,3.607,0.847,0.034,0.368,0.527,0.047,0.009,0.943,0.255,0.617,0.003,0.012,0.039,0.02,1.41,2.056,1.686,0.012,0.001,0.011,0.004,0.215,0.003,0.007,0.292,0.064,0.006,0.051,0.012,329.19,333.664,0.987,7,2,78.74,7,3,9,7,0,18,0.389,1,0,0,0,0,1,0,0,1,0.884,2.847,0.471,54.4,-2.424,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS50109,4,16,,None
50013,4077,CCC(=O)NCc1ccc2c(c1)OCCO2,-2.834,1.31,1.098,0.052,0.225,0.003,0.007,0.013,-4.505,2.751040483417455e-05,0.643,84.93933868408203%,1.195,13.061271667480469%,0.977,0.537,0.724,0.787,0.102,0.341,0.096,0.842,0.178,0.234,11.544,0.739,0.153,0.048,0.057,0.035,0.037,0.012,0.225,0.06,0.003,0.022,0.022,0.484,2.165,2.797,4.393,0.25,0.022,0.682,0.034,0.272,0.006,0.007,0.134,0.35,0.082,0.071,0.058,221.11,225.817,0.979,4,1,47.56,4,2,10,4,0,12,0.333,0,0,0,0,0,0,2,0,0,0.841,1.865,0.417,22.353,-1.135,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS48033,4,16,,None
50023,4087,C[C@H](O)CNC(=O)NCc1cc(Cl)c2c(c1)OCCCO2,-3.137,1.619,1.406,0.001,0.994,0.003,0.002,0.002,-4.838,2.30365385505138e-05,0.839,72.84072875976562%,0.741,13.08127212524414%,0.939,0.126,0.806,0.836,0.268,0.535,0.018,0.803,0.274,0.124,9.962,0.541,0.108,0.121,0.034,0.064,0.008,0.397,0.15,0.026,0.003,0.01,0.012,0.518,2.228,2.896,2.403,0.012,0.002,0.623,0.01,0.118,0.004,0.009,0.109,0.011,0.013,0.163,0.012,314.1,295.407,1.063,6,3,79.82,6,2,11,7,0,13,0.462,1,1,0,0,0,1,2,1,0,0.79,2.794,0.5,39.429,-1.111,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS50118,4,16,,None
50051,4115,CC(CN1CCOCC1)NC(=O)NCc1cc[nH]n1,-0.787,-0.468,-0.594,0.0,0.914,0.985,0.011,0.006,-5.472,5.683430117642274e-06,0.799,6.570875644683838%,0.716,87.51258087158203%,0.005,0.094,0.031,0.134,0.017,0.509,0.003,0.611,0.006,0.026,5.76,0.682,0.069,0.226,0.513,0.028,0.003,0.019,0.236,0.063,0.003,0.017,0.025,-0.084,0.956,1.789,1.488,0.007,0.002,0.013,0.003,0.112,0.005,0.005,0.055,0.007,0.006,0.006,0.004,267.17,263.65,1.013,7,3,82.28,7,2,6,7,0,12,0.583,1,0,0,0,0,1,1,0,1,0.697,3.248,0.667,34.0,-2.608,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS50131,4,16,,None
50058,4122,CCn1cnnc1CNC(=O)N1CCC(CN2CCOCC2)CC1,-0.081,-0.701,-0.47,0.0,0.963,0.996,0.965,0.982,-6.066,4.704980710812379e-06,0.778,18.843360900878906%,0.956,74.7700424194336%,0.005,0.075,0.05,0.64,0.008,0.082,0.018,0.333,0.008,0.129,5.93,0.891,0.033,0.4,0.116,0.122,0.052,0.045,0.095,0.866,0.003,0.016,0.248,-0.018,1.471,1.695,2.458,0.013,0.004,0.034,0.003,0.128,0.011,0.006,0.433,0.016,0.009,0.007,0.007,336.23,335.274,1.003,8,1,75.52,7,3,6,8,0,18,0.389,0,0,0,0,0,1,1,0,0,0.85,2.507,0.812,39.31,-2.534,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS50133,4,16,,None
50068,4132,O=C(NCc1ccccn1)N1CCN(C[C@H]2CCCO2)CC1,-0.341,0.807,0.344,0.003,0.978,0.609,0.775,0.165,-5.423,7.346327038249001e-06,0.974,31.150861740112305%,1.239,62.67931365966797%,0.015,0.077,0.049,0.857,0.018,0.161,0.005,0.542,0.028,0.183,3.897,0.536,0.232,0.445,0.28,0.079,0.177,0.246,0.748,0.084,0.003,0.014,0.81,0.215,1.95,2.268,3.0,0.567,0.009,0.019,0.005,0.247,0.005,0.008,0.521,0.013,0.015,0.02,0.01,304.19,310.645,0.979,6,1,57.7,6,3,6,6,0,18,0.333,1,0,0,0,0,2,1,0,1,0.904,2.562,0.625,50.615,-2.068,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS48042,4,16,,None
50069,4133,O=C(NCc1cc[nH]n1)NCC1CCCO1,-1.09,-0.769,-0.661,0.0,0.941,0.869,0.01,0.004,-4.954,6.038977517164312e-06,0.812,8.860374450683594%,0.719,85.42603302001953%,0.012,0.093,0.031,0.105,0.016,0.222,0.002,0.317,0.008,0.025,6.694,0.79,0.04,0.192,0.129,0.013,0.004,0.643,0.264,0.03,0.003,0.017,0.011,0.126,1.372,2.007,1.873,0.004,0.001,0.022,0.004,0.072,0.004,0.005,0.036,0.008,0.008,0.01,0.005,224.13,218.062,1.028,6,3,79.04,6,2,5,6,0,11,0.545,1,0,0,0,0,1,1,0,0,0.692,3.286,0.6,31.5,-2.014,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS49809,4,16,,None
50074,4138,CCC(CC)NC(O)c1cc(=O)[nH]c2cc(F)ccc12,-2.922,2.854,2.163,0.001,0.993,0.014,0.001,0.01,-4.993,1.2067514944646971e-05,0.511,72.08417510986328%,1.569,31.285446166992188%,0.282,0.93,0.103,0.117,0.036,0.134,0.048,0.481,0.03,0.198,5.277,0.348,0.4,0.646,0.087,0.478,0.561,0.939,0.298,0.143,0.003,0.012,0.915,0.726,2.608,3.068,5.904,0.014,0.002,0.647,0.063,0.111,0.009,0.004,0.129,0.006,0.016,0.22,0.016,278.14,283.343,0.982,4,3,65.12,5,2,10,5,0,12,0.417,1,1,0,0,0,2,0,1,2,0.736,3.167,0.4,26.0,-0.598,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS49810,4,16,,None
