,Unnamed: 0,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,eos,rules_sum,scores_sum,warning_scores,warning_PAINS
27,27,O=C(c1snnc1-c1ccccc1)N1CCOCC1,-1.916,0.922,1.402,0.005,0.0,0.004,0.019,0.034,-4.538,4.303610330680385e-05,0.793,90.72843933105469%,0.87,7.678721904754639%,0.465,0.124,0.8,0.308,0.356,0.654,0.126,0.514,0.282,0.31,5.029,0.552,0.026,0.466,0.461,0.013,0.131,0.016,0.255,0.059,0.004,0.171,0.92,0.345,2.01,2.69,4.386,0.004,0.046,0.067,0.033,0.126,0.008,0.374,0.479,0.008,0.031,0.042,0.023,275.07,260.996,1.054,5,0,55.32,3,3,6,6,0,18,0.167,0,0,0,0,0,1,0,0,0,0.836,2.175,0.308,34.588,-2.119,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS28,4,16,,None
33,33,CC1(C)OC(=O)CC1C(=O)N1CCCCC1c1ccccn1,-2.679,1.969,2.361,0.913,0.001,0.004,0.016,0.505,-4.721,3.350611586938612e-05,0.916,64.16128540039062%,0.663,42.31636047363281%,0.019,0.142,0.17,0.615,0.046,0.612,0.007,0.283,0.112,0.478,3.701,0.663,0.012,0.503,0.62,0.013,0.099,0.874,0.189,0.408,0.004,0.021,0.199,0.34,2.388,3.208,3.823,0.232,0.019,0.006,0.333,0.13,0.054,0.013,0.134,0.006,0.256,0.089,0.008,302.16,312.101,0.968,5,0,59.5,3,3,6,5,0,19,0.158,2,0,0,0,0,1,1,2,0,0.788,3.354,0.588,64.667,-0.169,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS34,4,16,,None
35,35,CC1(C)OC(=O)CC1C(=O)NCCn1ccnc1-c1ccccc1,-3.08,2.099,1.846,0.032,0.025,0.01,0.007,0.139,-4.561,7.108883437467739e-05,0.72,71.81744384765625%,0.854,38.50897979736328%,0.152,0.078,0.58,0.171,0.255,0.277,0.035,0.214,0.15,0.379,8.691,0.82,0.035,0.15,0.497,0.424,0.203,0.694,0.062,0.643,0.003,0.012,0.146,0.31,2.329,3.004,3.606,0.011,0.005,0.012,0.007,0.123,0.162,0.007,0.084,0.01,0.022,0.024,0.008,327.16,335.121,0.976,6,1,73.22,6,3,6,6,0,18,0.333,1,0,0,0,0,0,0,2,1,0.853,2.984,0.389,58.32,-0.557,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS36,4,16,,None
36,36,Cc1ccc(C(C)C)c(OCCNC(=O)C2CC(=O)OC2(C)C)c1,-4.383,3.853,3.629,0.988,0.002,0.012,0.087,0.695,-4.779,2.459407551214099e-05,0.58,93.96542358398438%,0.736,6.735940456390381%,0.408,0.36,0.859,0.863,0.526,0.338,0.553,0.597,0.754,0.602,7.892,0.424,0.017,0.161,0.507,0.086,0.094,0.044,0.183,0.564,0.003,0.012,0.126,0.426,3.132,4.086,4.253,0.053,0.003,0.019,0.018,0.168,0.188,0.011,0.056,0.005,0.036,0.026,0.011,333.19,353.043,0.944,5,1,64.63,7,2,6,5,0,13,0.538,1,0,0,0,0,0,0,2,0,0.642,2.951,0.579,51.2,-0.12,2,0,0,0,Accepted,Rejected,Accepted,Accepted,EOS37,3,16,,None
45,45,CC1(C)CC(NC(=O)Cn2ccc3c(NS(C)(=O)=O)cccc32)CC(C)(C)N1,-2.677,0.799,0.633,0.164,0.849,0.029,0.006,0.002,-5.248,9.540022438159212e-05,0.312,38.281700134277344%,0.831,62.72440719604492%,0.012,0.105,0.063,0.179,0.005,0.332,0.414,0.487,0.128,0.902,4.256,0.294,0.101,0.648,0.107,0.015,0.02,0.94,0.157,0.062,0.003,0.007,0.193,-0.023,1.625,2.113,2.974,0.016,0.002,0.03,0.001,0.052,0.006,0.011,0.296,0.003,0.005,0.048,0.004,406.2,404.491,1.004,7,3,92.23,6,3,9,8,0,19,0.316,0,0,0,1,0,0,2,0,2,0.711,2.687,0.55,55.742,-1.649,1,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS46,3,16,,None
50,50,CCN1CCCC1CNC(=O)Cn1ccc2c(NC(C)=O)cccc21,-1.626,1.284,0.618,0.393,0.974,0.047,0.03,0.015,-4.868,7.757015737297479e-06,0.684,22.157255172729492%,1.891,74.2261734008789%,0.039,0.106,0.088,0.448,0.016,0.072,0.481,0.426,0.026,0.276,6.902,0.774,0.234,0.592,0.06,0.245,0.037,0.685,0.196,0.591,0.003,0.009,0.265,0.336,2.074,2.35,3.586,0.044,0.003,0.05,0.002,0.213,0.005,0.007,0.063,0.007,0.007,0.029,0.024,342.21,357.26,0.958,6,2,66.37,8,3,9,6,0,17,0.471,1,0,0,3,0,0,4,0,2,0.846,2.734,0.474,55.857,-1.78,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS51,4,16,,None
82,82,O=C(CC(Cn1cccc1)c1ccc(Cl)cc1)NCC1CCOCC1,-3.527,3.655,3.214,0.948,0.446,0.006,0.741,0.073,-4.787,4.030067793792114e-05,0.766,90.53820037841797%,1.525,7.620099067687988%,0.35,0.149,0.967,0.085,0.935,0.051,0.87,0.128,0.933,0.303,12.361,0.302,0.572,0.429,0.069,0.061,0.233,0.831,0.283,0.534,0.003,0.018,0.024,0.782,2.854,3.419,4.325,0.003,0.003,0.024,0.053,0.082,0.007,0.004,0.088,0.005,0.654,0.145,0.009,360.16,367.773,0.979,4,1,43.26,8,3,6,5,0,18,0.444,1,1,0,0,0,2,0,1,1,0.814,2.934,0.45,50.172,-0.962,0,0,0,0,Accepted,Rejected,Accepted,Accepted,EOS83,3,16,,None
84,84,Oc1cc(C(O)N2CCCC2)cn1-c1[nH]nc2ccccc12,-3.181,1.861,1.521,0.001,0.004,0.052,0.386,0.371,-4.807,6.301552275544964e-06,0.904,47.985992431640625%,1.752,37.00300598144531%,0.144,0.814,0.053,0.097,0.067,0.82,0.168,0.879,0.073,0.572,3.81,0.684,0.09,0.231,0.687,0.053,0.055,0.93,0.141,0.183,0.003,0.011,0.779,0.5,1.76,2.707,4.2,0.022,0.006,0.441,0.255,0.154,0.008,0.007,0.19,0.014,0.009,0.202,0.188,298.14,296.815,1.004,6,3,77.31,3,4,9,6,0,20,0.15,1,0,0,0,0,0,0,0,2,0.692,3.591,0.312,67.619,-0.856,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS85,4,16,,None
101,101,COc1ccc(CCn2c(O)c(CCC(=O)NCc3cccn3C)[nH]c2=O)cc1,-2.047,1.374,0.603,0.661,0.986,0.47,0.058,0.75,-5.298,1.0549351827648934e-05,0.208,77.29881286621094%,1.112,11.413317680358887%,0.087,0.63,0.573,0.069,0.674,0.639,0.721,0.862,0.752,0.314,6.668,0.885,0.052,0.688,0.475,0.088,0.018,0.22,0.043,0.182,0.003,0.007,0.017,0.38,1.969,2.664,4.03,0.013,0.005,0.132,0.004,0.1,0.01,0.003,0.031,0.007,0.003,0.011,0.007,398.2,404.159,0.985,8,3,101.28,10,3,6,8,0,18,0.556,0,0,0,0,0,0,1,0,2,0.511,2.599,0.333,18.0,-1.188,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS102,4,16,,None
116,116,COc1ccc(Cn2c(O)c(CCC(=O)NCCc3ccc(O)cc3)[nH]c2=O)cc1OC,-3.384,1.851,1.003,0.02,0.99,0.853,0.964,0.815,-5.296,8.77682487043785e-06,0.016,93.14422607421875%,0.58,3.9841604232788086%,0.191,0.691,0.489,0.063,0.877,0.761,0.887,0.514,0.854,0.439,10.216,0.946,0.048,0.497,0.224,0.021,0.009,0.149,0.044,0.027,0.003,0.008,0.016,0.547,2.392,3.275,5.019,0.029,0.005,0.147,0.01,0.274,0.019,0.004,0.133,0.029,0.003,0.053,0.025,441.19,442.698,0.997,9,4,125.81,11,3,6,9,0,19,0.579,0,0,0,0,0,0,2,0,2,0.381,2.444,0.304,19.0,-0.58,1,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS117,3,16,,None
128,128,CC(C)CNC(=O)C1CCN(C(O)c2cc(O)n(-c3ccccc3)c2)CC1,-2.401,2.522,1.609,0.001,0.206,0.686,0.05,0.852,-5.346,7.390207429125439e-06,0.9,62.121761322021484%,1.878,36.932334899902344%,0.05,0.108,0.083,0.761,0.045,0.183,0.618,0.681,0.018,0.471,7.746,0.761,0.17,0.206,0.025,0.013,0.087,0.919,0.307,0.032,0.003,0.009,0.716,0.422,2.101,3.073,3.702,0.23,0.003,0.018,0.006,0.14,0.009,0.004,0.058,0.005,0.007,0.026,0.011,371.22,389.645,0.953,6,3,77.73,7,3,6,6,0,18,0.389,1,0,0,0,0,0,0,0,2,0.73,3.118,0.476,59.806,-1.062,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS187,4,16,,None
130,130,O=C(NCc1ccccc1)C1CCN(C(O)c2cc(O)n(-c3ccccc3)c2)CC1,-2.678,2.634,1.874,0.007,0.456,0.857,0.999,0.999,-5.544,9.185933777189348e-06,0.876,86.28013610839844%,2.885,17.738407135009766%,0.068,0.097,0.133,0.691,0.036,0.111,0.817,0.743,0.048,0.429,5.58,0.791,0.507,0.219,0.019,0.024,0.071,0.904,0.48,0.026,0.003,0.008,0.641,0.435,2.106,3.097,3.846,0.612,0.008,0.026,0.011,0.167,0.007,0.003,0.09,0.007,0.005,0.075,0.018,405.21,425.067,0.953,6,3,77.73,7,4,6,6,0,24,0.292,1,0,0,0,0,0,1,0,2,0.589,2.944,0.292,69.774,-1.135,0,1,0,0,Accepted,Accepted,Rejected,Accepted,EOS188,3,16,,None
133,133,CC(=O)Nc1ccc(NC(=O)C2CCN(C(O)c3cc(O)n(-c4ccccc4)c3)CC2)cc1,-3.334,1.976,1.279,0.28,0.69,0.889,0.988,0.999,-5.637,3.7587271890515694e-06,0.438,68.2059097290039%,1.182,30.446239471435547%,0.051,0.641,0.142,0.422,0.135,0.165,0.297,0.568,0.044,0.86,1.022,0.801,0.308,0.302,0.156,0.026,0.163,0.94,0.714,0.106,0.003,0.007,0.328,0.352,1.715,2.937,3.608,0.677,0.01,0.587,0.01,0.263,0.007,0.004,0.119,0.011,0.005,0.316,0.365,448.21,459.514,0.975,8,4,106.83,8,4,6,8,0,25,0.32,1,0,0,3,0,0,5,0,2,0.462,3.017,0.28,76.188,-1.199,1,1,0,0,Accepted,Accepted,Rejected,Accepted,EOS189,3,16,,None
186,186,O=C(NCCn1cnc2ccccc2c1=O)NC[C@@H]1CCCN2CCCC[C@H]12,-2.055,1.799,1.127,0.022,0.999,0.066,0.99,0.063,-5.663,3.880474650941324e-06,0.961,40.65414047241211%,1.838,66.89094543457031%,0.035,0.118,0.11,0.369,0.011,0.091,0.92,0.853,0.069,0.16,6.419,0.574,0.462,0.699,0.667,0.436,0.08,0.189,0.267,0.109,0.003,0.012,0.489,0.321,3.044,3.254,2.203,0.004,0.001,0.24,0.005,0.121,0.005,0.005,0.182,0.006,0.016,0.242,0.027,383.23,394.292,0.972,7,2,79.26,7,4,10,7,0,24,0.292,2,0,0,0,0,0,0,0,1,0.827,3.079,0.571,70.909,-1.108,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS135,4,16,,None
239,239,O=C(NC1CC1)c1cc2occc2n1Cc1ccccc1,-4.389,3.461,3.398,0.736,0.82,0.006,0.965,0.995,-4.886,1.775399869075045e-05,0.841,95.31675720214844%,3.255,4.7436347007751465%,0.926,0.086,0.951,0.069,0.907,0.565,0.509,0.601,0.75,0.188,9.981,0.152,0.389,0.294,0.316,0.045,0.4,0.892,0.055,0.314,0.003,0.021,0.303,0.593,3.075,4.062,5.139,0.05,0.007,0.29,0.023,0.25,0.006,0.067,0.381,0.013,0.378,0.235,0.095,280.12,289.481,0.968,4,1,47.17,5,4,8,4,0,19,0.263,0,0,0,0,0,0,0,0,3,0.798,2.104,0.235,43.429,-1.416,0,0,0,0,Accepted,Rejected,Accepted,Accepted,EOS235,3,16,,None
246,246,O=C(NCCO)c1cc2occc2n1Cc1ccccc1F,-2.892,2.65,2.158,0.472,0.92,0.009,0.059,0.965,-5.034,1.3363296602619812e-05,0.732,90.36717224121094%,1.604,11.864764213562012%,0.946,0.067,0.929,0.06,0.784,0.399,0.547,0.713,0.289,0.202,11.038,0.39,0.043,0.473,0.404,0.034,0.044,0.362,0.058,0.314,0.003,0.027,0.142,0.632,2.34,3.608,5.713,0.01,0.003,0.691,0.081,0.145,0.006,0.005,0.291,0.019,0.016,0.04,0.016,302.11,295.599,1.022,5,2,67.4,6,3,8,6,0,16,0.375,0,1,0,0,0,1,0,1,2,0.759,2.293,0.188,16.0,-1.656,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS238,4,16,,None
248,248,COc1c2c(c(CNC(=O)CCc3[nH]c(=O)n(Cc4ccc5c(c4)OCO5)c3O)c3c1OCO3)CCN(C)C2,-3.505,1.579,0.939,0.023,0.879,0.002,0.039,0.011,-5.597,1.691284342086874e-05,0.746,93.09400177001953%,1.639,8.253694534301758%,0.493,0.699,0.276,0.132,0.045,0.341,0.788,0.389,0.946,0.526,7.841,0.621,0.327,0.365,0.065,0.045,0.003,0.288,0.04,0.45,0.003,0.004,0.059,0.671,1.83,2.53,4.061,0.006,0.012,0.3,0.016,0.232,0.509,0.011,0.102,0.006,0.011,0.075,0.66,538.21,514.79,1.045,12,3,136.51,9,6,13,12,0,32,0.281,0,0,0,0,0,0,2,0,2,0.391,3.275,0.407,74.684,-0.336,0,0,0,0,Rejected,Accepted,Rejected,Rejected,EOS143,1,16,,None
276,276,CN(C)C(CNC(=O)C(C)(C)C)c1ccc2c(c1)OCO2,-1.821,2.311,2.056,0.606,0.086,0.003,0.008,0.006,-4.885,1.2364469512249345e-05,0.982,50.29207229614258%,3.232,52.62282943725586%,0.714,0.518,0.744,0.936,0.145,0.677,0.905,0.879,0.907,0.796,12.029,0.419,0.039,0.222,0.042,0.016,0.494,0.452,0.091,0.471,0.003,0.011,0.875,0.58,2.79,3.89,3.964,0.005,0.002,0.023,0.002,0.172,0.01,0.004,0.064,0.003,0.003,0.013,0.007,292.18,305.998,0.955,5,1,50.8,6,2,9,5,0,11,0.545,1,0,0,0,0,2,1,0,1,0.924,2.715,0.562,46.2,-0.915,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS328,4,16,,None
278,278,CN(C)C(CNC(=O)c1ccccc1F)c1ccc2c(c1)OCO2,-2.318,2.511,2.368,0.251,0.235,0.002,0.002,0.01,-4.878,1.9766635887208395e-05,0.926,87.21983337402344%,3.319,14.191977500915527%,0.915,0.678,0.933,0.888,0.676,0.773,0.959,0.9,0.943,0.494,15.907,0.175,0.397,0.438,0.131,0.316,0.298,0.88,0.069,0.58,0.003,0.011,0.566,1.06,3.34,4.12,6.75,0.007,0.004,0.117,0.003,0.194,0.007,0.004,0.111,0.008,0.003,0.031,0.013,330.14,330.191,1.0,5,1,50.8,6,3,9,6,0,17,0.353,1,1,0,0,0,2,1,1,1,0.915,2.49,0.278,52.478,-1.396,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS329,4,16,,None
282,282,CN(C)C(CNC(=O)c1cccc(F)c1)c1ccc2c(c1)OCO2,-2.314,2.598,2.45,0.263,0.187,0.003,0.002,0.016,-4.939,1.6244281141553074e-05,0.95,86.7701416015625%,3.28,16.066043853759766%,0.912,0.696,0.897,0.834,0.47,0.647,0.964,0.894,0.939,0.435,15.367,0.271,0.508,0.376,0.111,0.083,0.251,0.885,0.088,0.46,0.003,0.011,0.579,0.998,3.575,4.179,6.465,0.004,0.003,0.026,0.003,0.146,0.005,0.004,0.135,0.005,0.004,0.032,0.007,330.14,330.191,1.0,5,1,50.8,6,3,9,6,0,17,0.353,1,1,0,0,0,2,1,1,1,0.915,2.496,0.278,52.478,-1.355,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS330,4,16,,None
283,283,CN(C)C(CNC(=O)c1ccccc1Br)c1ccc2c(c1)OCO2,-3.354,2.803,2.891,0.584,0.015,0.004,0.002,0.008,-4.783,2.215999302279669e-05,0.965,94.0619888305664%,3.697,5.910783767700195%,0.937,0.685,0.964,0.906,0.76,0.767,0.974,0.899,0.955,0.548,12.265,0.222,0.613,0.22,0.302,0.095,0.317,0.76,0.089,0.496,0.003,0.012,0.477,0.948,3.9,4.819,6.099,0.007,0.005,0.31,0.003,0.132,0.006,0.004,0.053,0.008,0.003,0.036,0.013,390.06,343.407,1.136,5,1,50.8,6,3,9,6,0,17,0.353,1,1,0,0,0,1,1,1,1,0.851,2.547,0.278,52.478,-1.124,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS331,4,16,,None
285,285,COc1ccccc1C(=O)NCC(c1ccc2c(c1)OCO2)N(C)C,-2.374,2.353,2.295,0.175,0.302,0.002,0.003,0.016,-5.035,1.5148607417359017e-05,0.98,83.93343353271484%,2.903,14.092883110046387%,0.902,0.762,0.888,0.926,0.452,0.72,0.964,0.911,0.951,0.72,14.103,0.436,0.624,0.34,0.282,0.241,0.085,0.733,0.064,0.637,0.003,0.011,0.684,0.869,3.469,4.166,5.168,0.009,0.007,0.234,0.003,0.144,0.006,0.004,0.071,0.011,0.002,0.036,0.018,342.16,350.21,0.977,6,1,60.03,7,3,9,6,0,17,0.412,1,0,0,0,0,1,1,0,1,0.874,2.473,0.316,52.36,-0.991,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS332,4,16,,None
287,287,CN(C)C(CNC(=O)c1ccccc1Cl)c1ccc2c(c1)OCO2,-2.989,2.752,2.711,0.477,0.21,0.003,0.002,0.013,-4.788,2.116028372256551e-05,0.945,90.14531707763672%,3.634,7.1901702880859375%,0.937,0.716,0.955,0.898,0.726,0.785,0.967,0.892,0.953,0.641,15.021,0.17,0.591,0.333,0.373,0.135,0.181,0.782,0.076,0.564,0.003,0.011,0.63,1.072,3.835,4.614,5.55,0.006,0.005,0.206,0.003,0.142,0.007,0.003,0.057,0.009,0.003,0.03,0.022,346.11,339.335,1.02,5,1,50.8,6,3,9,6,0,17,0.353,1,1,0,0,0,2,1,1,1,0.903,2.471,0.278,52.478,-1.29,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS333,4,16,,None
297,297,CC(C)C(=O)NCC(c1ccc2c(c1)OCO2)N1CCOCC1,-1.207,2.027,1.386,0.009,0.028,0.001,0.023,0.006,-4.548,1.7193147868965752e-05,0.914,84.4466781616211%,1.716,16.280609130859375%,0.246,0.156,0.597,0.895,0.116,0.151,0.824,0.52,0.938,0.631,11.026,0.634,0.038,0.195,0.04,0.1,0.018,0.056,0.078,0.929,0.003,0.009,0.284,0.431,2.021,3.161,3.959,0.008,0.006,0.042,0.003,0.162,0.012,0.002,0.077,0.008,0.008,0.021,0.015,320.17,323.527,0.99,6,1,60.03,6,3,9,6,0,17,0.353,1,0,0,0,0,1,1,0,2,0.892,2.698,0.588,53.926,-1.296,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS337,4,16,,None
302,302,COc1ccc(S(=O)(=O)NCC(c2ccc3c(c2)OCO3)N2CCOCC2)cc1OC,-2.459,2.413,1.871,0.025,0.004,0.002,0.101,0.021,-5.134,3.57970166078303e-05,0.887,94.79361724853516%,0.818,3.592602491378784%,0.134,0.497,0.704,0.915,0.7,0.462,0.725,0.897,0.971,0.921,7.738,0.256,0.288,0.414,0.495,0.023,0.008,0.832,0.036,0.94,0.003,0.008,0.236,0.697,2.61,3.567,3.855,0.018,0.155,0.208,0.018,0.242,0.009,0.001,0.515,0.015,0.005,0.149,0.03,450.15,423.762,1.062,9,1,95.56,8,4,9,10,0,24,0.333,1,0,0,0,0,1,2,0,1,0.65,2.773,0.429,76.667,-1.38,2,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS338,3,16,,None
308,308,CC(C)NC(=O)CNC(O)c1cc(O)n(-c2ccccc2)c1,-1.874,1.424,0.572,0.0,0.001,0.034,0.003,0.014,-5.285,8.4515640992322e-06,0.55,21.3049259185791%,1.46,47.15199279785156%,0.12,0.105,0.07,0.276,0.056,0.928,0.009,0.264,0.025,0.255,5.799,0.765,0.048,0.181,0.036,0.006,0.016,0.777,0.146,0.016,0.003,0.009,0.253,0.411,1.449,2.564,3.868,0.029,0.002,0.007,0.004,0.117,0.004,0.003,0.026,0.01,0.002,0.019,0.009,303.16,311.722,0.973,6,4,86.52,7,2,6,6,0,12,0.583,1,0,0,0,0,0,0,0,3,0.606,3.162,0.312,26.0,-0.95,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS342,4,16,,None
309,309,CC(C)CCNC(=O)CNC(O)c1cc(O)n(-c2ccccc2)c1,-2.19,2.606,1.51,0.0,0.002,0.046,0.107,0.017,-5.144,8.92868592927698e-06,0.401,33.701778411865234%,1.74,37.702110290527344%,0.168,0.097,0.157,0.461,0.17,0.943,0.11,0.332,0.152,0.254,7.834,0.801,0.058,0.154,0.042,0.009,0.052,0.917,0.22,0.016,0.003,0.009,0.362,0.451,1.989,2.894,3.77,0.023,0.002,0.009,0.005,0.136,0.005,0.003,0.078,0.012,0.002,0.023,0.01,331.19,346.313,0.956,6,4,86.52,9,2,6,6,0,12,0.75,1,0,0,0,0,0,0,0,3,0.557,3.168,0.389,26.0,-0.811,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS343,4,16,,None
331,331,COc1cc(CC(N)=NO)c(OC)c2c1OCO2,-1.727,-0.094,0.393,0.001,0.002,0.003,0.003,0.002,-4.72,1.1733923201973084e-05,0.771,67.78216552734375%,1.675,24.164560317993164%,0.91,0.705,0.099,0.591,0.034,0.714,0.283,0.458,0.675,0.345,4.943,0.513,0.072,0.666,0.09,0.199,0.062,0.037,0.511,0.913,0.003,0.038,0.077,0.658,1.303,2.484,4.088,0.007,0.052,0.632,0.015,0.146,0.01,0.014,0.068,0.008,0.026,0.038,0.343,254.09,237.098,1.072,7,3,95.53,4,2,9,7,0,11,0.364,0,0,0,2,1,0,1,0,3,0.356,2.755,0.364,25.6,0.478,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS376,4,16,,None
340,340,COc1cccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2CCCCO)c1,-2.73,1.736,1.816,0.913,0.997,0.194,0.002,0.087,-4.944,1.910552236950025e-05,0.76,75.99825286865234%,0.84,19.32330894470215%,0.647,0.968,0.214,0.309,0.588,0.143,0.014,0.273,0.563,0.87,2.0,0.766,0.192,0.303,0.13,0.275,0.007,0.143,0.027,0.812,0.003,0.069,0.202,1.041,3.365,4.435,5.33,0.001,0.001,0.167,0.006,0.077,0.005,0.003,0.124,0.004,0.001,0.034,0.004,397.18,389.303,1.02,9,1,95.69,6,4,12,9,0,22,0.273,0,1,0,3,0,0,0,0,1,0.492,2.601,0.35,24.0,-1.236,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS356,4,16,,None
356,356,O=C(CC1C(=O)OCCN1C1CCCCC1)Nc1ccccc1,-2.144,2.74,2.718,0.159,0.341,0.005,0.265,0.344,-4.704,5.517364115803503e-05,0.707,76.2450942993164%,1.07,33.20029830932617%,0.116,0.209,0.659,0.739,0.326,0.361,0.6,0.776,0.163,0.526,10.344,0.526,0.277,0.235,0.077,0.01,0.224,0.532,0.649,0.152,0.004,0.017,0.262,0.452,3.155,4.135,4.343,0.047,0.004,0.605,0.006,0.205,0.005,0.004,0.248,0.008,0.005,0.089,0.059,316.18,329.397,0.96,5,1,58.64,5,3,6,5,0,20,0.25,1,0,0,1,0,0,4,1,1,0.867,2.633,0.556,54.643,-0.784,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS388,4,16,,None
387,387,CC(=O)Nc1ccccc1Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C,-2.576,1.439,1.069,0.656,0.979,0.026,0.007,0.011,-5.229,2.7220403353567235e-05,0.773,92.021240234375%,0.861,3.227755546569824%,0.328,0.969,0.125,0.774,0.172,0.585,0.004,0.209,0.061,0.915,1.415,0.686,0.004,0.35,0.327,0.13,0.034,0.013,0.052,0.47,0.003,0.106,0.291,1.055,3.476,4.592,3.979,0.004,0.002,0.38,0.007,0.059,0.005,0.005,0.04,0.003,0.003,0.033,0.004,359.11,338.395,1.061,8,1,90.92,4,3,9,9,0,19,0.211,0,0,0,3,0,0,4,0,2,0.756,2.427,0.25,20.0,-1.739,2,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS456,4,16,,None
415,415,CCCCn1c(CCNC(=O)CCC)nc2ccccc21,-2.176,3.247,2.675,0.964,0.538,0.004,0.608,0.995,-4.69,2.064512045762968e-05,0.856,79.51274871826172%,2.104,13.7835111618042%,0.583,0.697,0.754,0.339,0.549,0.149,0.666,0.275,0.788,0.339,8.417,0.841,0.065,0.116,0.173,0.051,0.268,0.399,0.182,0.498,0.003,0.015,0.464,0.542,3.137,3.89,4.313,0.042,0.003,0.608,0.011,0.178,0.029,0.007,0.292,0.026,0.095,0.039,0.066,287.2,314.074,0.914,4,1,46.92,9,2,9,4,0,11,0.818,0,0,0,0,0,0,1,0,2,0.81,1.931,0.529,11.0,-1.757,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS413,4,16,,None
431,431,Cc1ccc(Cn2c(=O)c3ccc(C(=O)NC(C)C)cc3n3c(=O)[nH]nc23)cc1,-4.695,2.651,2.759,0.003,1.0,0.016,0.004,0.501,-4.913,1.8826032828656025e-05,0.361,92.68252563476562%,0.833,3.095674753189087%,0.424,0.122,0.303,0.063,0.829,0.728,0.041,0.2,0.269,0.355,6.302,0.768,0.335,0.204,0.404,0.032,0.002,0.048,0.237,0.711,0.003,0.028,0.022,0.751,3.071,4.108,5.328,0.002,0.002,0.291,0.008,0.27,0.031,0.003,0.158,0.006,0.005,0.032,0.011,391.16,392.536,0.996,8,2,101.26,5,4,13,8,0,24,0.208,0,1,0,3,0,0,0,0,1,0.554,2.419,0.238,24.0,-1.48,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS421,4,16,,None
438,438,COCCNC(=O)CCc1nc2ccccc2[nH]c1=O,-1.37,0.702,0.158,0.01,0.992,0.007,0.003,0.913,-4.939,1.1879694284289144e-05,0.529,52.405738830566406%,1.202,47.86427307128906%,0.069,0.888,0.087,0.063,0.018,0.564,0.011,0.241,0.046,0.265,5.72,0.798,0.032,0.274,0.529,0.053,0.506,0.295,0.13,0.042,0.003,0.024,0.674,0.201,1.637,2.567,5.319,0.021,0.004,0.033,0.006,0.197,0.006,0.005,0.083,0.017,0.005,0.016,0.033,275.13,277.13,0.993,6,2,84.08,7,2,10,6,0,13,0.538,0,0,0,0,0,1,0,0,1,0.757,2.065,0.357,11.0,-1.457,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS425,4,16,,None
