Molecule,Score
CNC(=O)C1Cc2ccccc2O1,-6.528
NC(=O)c1cnns1,-4.683
NCCc1ccc2c[nH]nc2c1,-6.025
CCc1cc(C(=O)NC2CCCC2)[nH]n1,-6.198
CC(=O)NCCc1cc(Cl)cc(Cl)c1,-6.027
CCNC(=O)NC1COc2c(cccc2OC)C1,-6.676
CC(=O)NCCC1=CCCCC1,-5.496
CC1NC(=O)NC1CCCCCC(=O)O,-6.236
CC(=O)NC1CC1c1ccccc1,-5.817
CC(C)(O)CNC(=O)c1ccccc1Cl,-6.122
CCN(CC)C(=O)NC1CCCOc2ccccc21,-11.713
CC(NC(=O)c1ccncc1)C1CC1,-5.589
CC(O)(CN)c1ccccc1,-5.921
CNC(=O)C1CCCCC1N,-5.396
CC(=O)C(O)NC1CC1,-4.775
Cc1cc(=O)cc(O)o1,-5.075
CSCC(=O)NC(=O)NC1CCCC1,-5.564
CC(=O)Nc1cccc(NC(=O)C2CC2)c1,-6.428
Cc1ccc(C(=O)NC2CCCC2)cn1,-6.293
Cc1nc(CN2CCNCC2)cs1,-5.8
O=C1NCCN1C1CCCNC1,-6.077
N[C@@]12CCCC[C@@H]1NC(=O)C2,-5.777
CCCCCC(O)CC(=O)Nc1ccoc1O,-6.322
CN(CC(N)=O)C1CCCC1,-5.15
O=C1CNC2CCCCC2N1,-5.78
NCc1cc(=O)[nH]c(C2CC2)n1,-6.518
CNC(=O)C1(C)CCCCC1,-5.66
CC(C)(C)c1ncc2c(n1)CC1CCC2N1,-6.839
NC(=O)C1(O)CCCCC1,-5.592
CC1NC(=O)CCC1N,-5.343
CCCCCCCCCCCCO[PH](=O)(=O)O,-5.159
COc1ccccc1CN1CCNCC1,-5.874
C[PH](=O)(=O)CCCN,-4.438
COCc1nc(=N)cc[nH]1,-5.254
NCCNCCNCCNCCN,-5.014
CCn1c(C)cc(C(=O)NC(C)C)c1C,-5.981
NC(=O)c1ccc2c(c1)OCO2,-6.262
CCOC(=O)C(O)CCc1ccccc1,-5.892
CC(=O)NC1CCSc2ccccc21,-6.349
O=C(O)CN1CCOCC1,-5.098
NC(=O)NCc1ccco1,-5.628
CC(=O)C(O)NCc1ccccn1,-5.803
CO[C@H]1CNC(C(N)=O)C1,-5.348
c1ccc(NC2CCNC2)cc1,-5.467
CC(C)NC[C@H](O)COc1ccc(O)cc1,-5.852
CC1CCc2c(O)oc(O)c2C1,-6.361
NCCCC(O)([PH](=O)(=O)[O-])[PH](=O)(=O)O,-5.941
CCNC(=O)Cc1coc2cc(C)ccc12,-6.7
O=C(O)CNC(=O)C(=O)O,-5.628
Cn1ncc(N)cc1=O,-4.875
NCC(=O)NCc1ccco1,-5.299
NCCNC(=O)Nc1ccccc1,-5.747
CNC(O)c1cc2ccccc2[nH]1,-6.147
Nc1cccc(C(=O)NC2CC2)c1,-6.009
CC(C)CC(=O)NC1CCCCC1,-5.537
CCC(C)(C)NC(=O)C1CC1,-5.071
NC(=O)c1cc(Cl)ccc1O,-6.123
CNC(=O)NC(=O)C(C)N1CCCCC1,-6.129
CCNC(=O)c1ccccc1O,-5.909
Cc1nc2c([nH]1)CC(N)CC2,-5.855
N=C(N)SCCc1ccc(CCSC(=N)N)cc1,-6.661
O=C(O)CCc1ccccc1,-5.624
O=C1NCc2ccccc21,-5.702
NC(=O)C1CCNCC1,-5.146
O=c1cc2c(n[nH]1)CCCC2,-6.313
CNC1Cc2ccccc2C1,-5.831
OC1CCCCC1N1CCC(c2ccccc2)CC1,-7.655
Oc1[nH]c(O)c2c1CCCC2,-5.873
FC(F)(F)c1ccccc1,-5.593
CC(=O)Nc1cccc(O)c1,-5.862
OCCNc1ccccc1,-5.068
CC(=O)C(C)=O,-4.497
