,7nio_A_fpocket,7nio_E_fpocket,7nio_A_p2rank,7nio_E_p2rank,IoMIN
8692,31,7,1,3,0.2727
3529,9,1,8,9,0.2727
9454,35,2,1,3,0.2727
4657,13,19,3,7,0.2727
3539,9,2,3,7,0.2727
9474,35,4,1,3,0.2727
5387,16,14,1,3,0.2727
6615,22,2,3,7,0.2727
9464,35,3,1,3,0.2727
9235,34,7,1,3,0.2727
9887,38,38,1,3,0.2727
2022,5,6,8,9,0.2727
166,1,8,3,7,0.2727
185,1,9,3,7,0.2727
2149,5,15,8,9,0.2727
516,2,1,3,7,0.2727
2002,5,5,8,9,0.2727
1995,5,5,3,7,0.2727
504,1,38,1,3,0.2727
1556,4,5,3,7,0.2727
1726,4,19,3,7,0.2727
699,2,10,3,7,0.2727
944,2,35,1,3,0.2727
2230,5,22,3,7,0.2727
1456,3,38,1,3,0.2727
1971,5,4,3,7,0.2727
1210,3,14,1,3,0.2727
1534,4,4,3,7,0.2727
486,1,35,1,3,0.2727
1752,4,22,3,7,0.2727
232,1,13,3,7,0.2727
801,2,19,3,7,0.2727
2380,5,38,1,3,0.2727
190,1,9,8,9,0.2727
1667,4,14,1,3,0.2727
1921,5,2,3,7,0.2727
725,2,13,3,7,0.2727
37,1,2,3,7,0.2727
734,2,14,1,3,0.2727
964,2,38,1,3,0.2727
608,2,5,3,7,0.2727
2128,5,14,1,3,0.2727
2200,5,19,3,7,0.2727
2118,5,13,3,7,0.2727
586,2,4,3,7,0.2727
1436,3,35,1,3,0.2727
1606,4,8,3,7,0.2727
2051,5,8,3,7,0.2727
2098,5,10,8,9,0.2727
1623,4,9,3,7,0.2727
2091,5,10,3,7,0.2727
204,1,10,3,7,0.2727
2217,5,21,8,9,0.2727
1642,4,10,3,7,0.2727
2070,5,9,3,7,0.2727
540,2,2,3,7,0.2727
1659,4,13,3,7,0.2727
11,1,1,3,7,0.2727
2360,5,35,1,3,0.2727
2137,5,14,8,9,0.2727
680,2,9,3,7,0.2727
1883,4,38,1,3,0.2727
663,2,8,3,7,0.2727
319,1,19,3,7,0.2727
347,1,22,3,7,0.2727
419,1,27,8,9,0.2727
1895,5,1,3,7,0.2727
114,1,5,8,9,0.2727
1902,5,1,8,9,0.2727
1865,4,35,1,3,0.2727
107,1,5,3,7,0.2727
2170,5,17,8,9,0.2727
2308,5,28,8,9,0.2727
244,1,14,1,3,0.2727
826,2,22,3,7,0.2727
1468,4,1,3,7,0.2727
85,1,4,3,7,0.2727
1490,4,2,3,7,0.2727
2163,5,16,8,9,0.2727
383,1,24,8,9,0.2727
2925,7,15,1,1,0.2632
7629,25,9,1,1,0.2632
7348,24,4,1,1,0.2632
3739,9,24,1,1,0.2632
7433,24,14,1,1,0.2632
3747,9,25,1,1,0.2632
5123,15,7,1,1,0.2632
1122,3,8,1,2,0.261
528,2,2,1,2,0.261
990,3,2,1,2,0.261
2400,6,2,1,2,0.261
1877,4,37,2,2,0.261
2040,5,8,1,2,0.261
3150,8,6,1,2,0.261
1,1,1,1,2,0.261
688,2,10,1,2,0.261
3935,10,8,1,2,0.261
4042,10,16,2,2,0.261
195,1,10,1,2,0.261
3128,8,5,1,2,0.261
7169,23,16,2,2,0.261
97,1,5,1,2,0.261
2080,5,10,1,2,0.261
3220,8,10,1,2,0.261
1016,3,3,1,2,0.261
1239,3,16,2,2,0.261
1502,4,3,1,2,0.261
576,2,4,1,2,0.261
1568,4,6,1,2,0.261
51,1,3,1,2,0.261
1596,4,8,1,2,0.261
3183,8,8,1,2,0.261
620,2,6,1,2,0.261
1480,4,2,1,2,0.261
1633,4,10,1,2,0.261
596,2,5,1,2,0.261
7393,24,8,2,2,0.261
380,1,24,2,2,0.261
1162,3,10,1,2,0.261
3970,10,10,1,2,0.261
552,2,3,1,2,0.261
966,3,1,1,2,0.261
2470,6,6,1,2,0.261
1885,5,1,1,2,0.261
9703,37,4,2,2,0.261
2418,6,3,1,2,0.261
3798,10,1,1,2,0.261
3044,8,1,1,2,0.261
7497,24,23,2,2,0.261
1064,3,5,1,2,0.261
2526,6,10,1,2,0.261
1961,5,4,1,2,0.261
156,1,8,1,2,0.261
1458,4,1,1,2,0.261
3819,10,2,1,2,0.261
5322,16,5,2,2,0.261
1090,3,6,1,2,0.261
1909,5,2,1,2,0.261
2157,5,16,2,2,0.261
2497,6,8,1,2,0.261
3842,10,3,1,2,0.261
2452,6,5,1,2,0.261
1524,4,4,1,2,0.261
5369,16,10,2,2,0.261
1935,5,3,1,2,0.261
652,2,8,1,2,0.261
5405,16,16,2,2,0.261
3884,10,5,1,2,0.261
2382,6,1,1,2,0.261
3865,10,4,1,2,0.261
75,1,4,1,2,0.261
1042,3,4,1,2,0.261
5296,16,3,2,2,0.261
1546,4,5,1,2,0.261
1983,5,5,1,2,0.261
121,1,6,1,2,0.261
2009,5,6,1,2,0.261
4991,14,24,2,2,0.261
27,1,2,1,2,0.261
3109,8,4,1,2,0.261
5463,16,23,2,2,0.261
506,2,1,1,2,0.261
763,2,16,2,2,0.261
3907,10,6,1,2,0.261
3087,8,3,1,2,0.261
2436,6,4,1,2,0.261
3065,8,2,1,2,0.261
5282,16,2,2,2,0.261
8970,32,22,3,1,0.25
8887,32,10,4,4,0.25
3291,8,15,9,10,0.25
692,2,10,2,1,0.25
8958,32,19,4,4,0.25
5027,14,29,1,6,0.25
3303,8,16,4,4,0.25
8943,32,18,3,1,0.25
3245,8,11,9,10,0.25
8867,32,8,4,4,0.25
1462,4,1,2,1,0.25
8826,32,5,4,4,0.25
3215,8,9,9,10,0.25
1461,4,1,1,6,0.25
4277,11,9,9,10,0.25
7300,23,35,9,10,0.25
2943,7,18,3,1,0.25
5314,16,4,4,4,0.25
785,2,18,3,1,0.25
5327,16,5,4,4,0.25
789,2,18,4,4,0.25
5355,16,8,4,4,0.25
5374,16,10,4,4,0.25
5410,16,16,4,4,0.25
9211,34,5,3,1,0.25
125,1,6,2,1,0.25
6940,22,32,3,1,0.25
2959,7,22,3,1,0.25
2313,5,29,1,6,0.25
7264,23,30,4,4,0.25
6879,22,23,4,4,0.25
6843,22,21,4,4,0.25
2320,5,30,4,4,0.25
1264,3,18,3,1,0.25
2887,7,10,3,1,0.25
6767,22,13,3,1,0.25
6748,22,10,3,1,0.25
101,1,5,2,1,0.25
6700,22,7,3,1,0.25
1244,3,16,4,4,0.25
2338,5,32,4,4,0.25
5301,16,3,4,4,0.25
5287,16,2,4,4,0.25
7079,23,6,9,10,0.25
5273,16,1,4,4,0.25
3201,8,8,9,10,0.25
1417,3,32,4,4,0.25
7246,23,25,9,10,0.25
5135,15,8,9,10,0.25
7237,23,23,9,10,0.25
9012,32,27,4,4,0.25
5141,15,9,9,10,0.25
5149,15,11,9,10,0.25
3166,8,6,9,10,0.25
9032,32,32,4,4,0.25
1400,3,30,4,4,0.25
199,1,10,2,1,0.25
7216,23,22,4,4,0.25
1392,3,29,1,6,0.25
1483,4,2,1,6,0.25
7164,23,15,9,10,0.25
5207,15,23,9,10,0.25
7143,23,12,9,10,0.25
3112,8,4,1,6,0.25
7140,23,11,9,10,0.25
5241,15,29,9,10,0.25
7116,23,9,9,10,0.25
7106,23,8,9,10,0.25
8810,32,4,4,4,0.25
624,2,6,2,1,0.25
1484,4,2,2,1,0.25
8451,29,5,1,6,0.25
1939,5,3,2,1,0.25
4353,11,35,9,10,0.25
8423,29,2,1,6,0.25
3823,10,2,2,1,0.25
8433,29,3,1,6,0.25
4386,12,8,9,10,0.25
1964,5,4,1,6,0.25
1965,5,4,2,1,0.25
4388,12,9,9,10,0.25
3802,10,1,2,1,0.25
4395,12,11,9,10,0.25
3794,9,35,9,10,0.25
4404,12,13,1,6,0.25
4410,12,14,1,6,0.25
4333,11,25,9,10,0.25
3780,9,30,4,4,0.25
8460,29,6,1,6,0.25
4435,12,23,9,10,0.25
3752,9,25,9,10,0.25
4448,12,29,1,6,0.25
4451,12,29,9,10,0.25
8475,29,8,1,6,0.25
3737,9,23,9,10,0.25
1987,5,5,2,1,0.25
1710,4,18,3,1,0.25
510,2,1,2,1,0.25
2013,5,6,2,1,0.25
1695,4,16,4,4,0.25
3846,10,3,2,1,0.25
4330,11,23,9,10,0.25
8796,32,3,4,4,0.25
3927,10,7,3,1,0.25
4047,10,16,4,4,0.25
8247,27,32,4,4,0.25
8228,27,29,9,10,0.25
1846,4,32,4,4,0.25
1828,4,30,4,4,0.25
4102,10,22,3,1,0.25
4169,10,28,4,4,0.25
4179,10,30,4,4,0.25
3974,10,10,2,1,0.25
8332,28,10,4,4,0.25
4193,10,32,4,4,0.25
430,1,29,1,6,0.25
8361,28,19,4,4,0.25
1889,5,1,2,1,0.25
459,1,32,4,4,0.25
4259,11,6,9,10,0.25
441,1,30,4,4,0.25
3911,10,6,2,1,0.25
8036,27,6,9,10,0.25
4276,11,8,9,10,0.25
3888,10,5,2,1,0.25
1913,5,2,2,1,0.25
4290,11,11,9,10,0.25
4295,11,12,9,10,0.25
8410,29,1,1,6,0.25
3869,10,4,2,1,0.25
3868,10,4,1,6,0.25
4311,11,15,9,10,0.25
8503,29,12,1,6,0.25
8506,29,12,9,10,0.25
3678,9,15,9,10,0.25
1550,4,5,2,1,0.25
3505,8,35,9,10,0.25
8640,29,35,9,10,0.25
8643,30,1,4,4,0.25
8644,30,2,4,4,0.25
8645,30,3,4,4,0.25
8646,30,4,4,4,0.25
8647,30,5,4,4,0.25
8649,30,8,4,4,0.25
8650,30,9,4,4,0.25
8651,30,10,4,4,0.25
8658,30,23,4,4,0.25
3474,8,32,4,4,0.25
8664,30,30,4,4,0.25
1549,4,5,1,6,0.25
8521,29,14,1,6,0.25
7550,24,29,9,10,0.25
3457,8,30,4,4,0.25
3448,8,29,1,6,0.25
1528,4,4,2,1,0.25
1527,4,4,1,6,0.25
2162,5,16,4,4,0.25
3413,8,25,9,10,0.25
8763,32,1,4,4,0.25
1506,4,3,2,1,0.25
1505,4,3,1,6,0.25
3392,8,23,9,10,0.25
4888,14,12,1,6,0.25
8781,32,2,4,4,0.25
1571,4,6,1,6,0.25
1572,4,6,2,1,0.25
7627,25,8,9,10,0.25
7634,25,9,9,10,0.25
301,1,18,3,1,0.25
3655,9,12,9,10,0.25
3653,9,11,9,10,0.25
8534,29,15,9,10,0.25
7746,25,29,9,10,0.25
3636,9,9,9,10,0.25
532,2,2,2,1,0.25
4595,13,12,1,6,0.25
3620,9,8,9,10,0.25
1637,4,10,2,1,0.25
3601,9,6,9,10,0.25
1636,4,10,1,6,0.25
2084,5,10,2,1,0.25
556,2,3,2,1,0.25
7707,25,23,9,10,0.25
8586,29,24,9,10,0.25
280,1,16,4,4,0.25
8593,29,25,9,10,0.25
579,2,4,1,6,0.25
4671,13,22,3,1,0.25
1599,4,8,1,6,0.25
580,2,4,2,1,0.25
8605,29,27,9,10,0.25
7643,25,11,9,10,0.25
8614,29,29,1,6,0.25
8620,29,29,9,10,0.25
600,2,5,2,1,0.25
901,2,29,1,6,0.25
3249,8,12,9,10,0.25
78,1,4,1,6,0.25
1094,3,6,2,1,0.25
9630,35,29,9,10,0.25
2523,6,9,9,10,0.25
6355,19,32,4,4,0.25
5708,18,1,3,1,0.25
5937,18,23,4,4,0.25
5759,18,4,3,1,0.25
1020,3,3,2,1,0.25
5885,18,18,3,1,0.25
2351,5,34,3,1,0.25
970,3,1,2,1,0.25
31,1,2,2,1,0.25
2659,6,23,9,10,0.25
5725,18,2,3,1,0.25
6334,19,28,4,4,0.25
2511,6,8,9,10,0.25
1166,3,10,2,1,0.25
2386,6,1,2,1,0.25
5903,18,19,4,4,0.25
923,2,32,4,4,0.25
9598,35,23,9,10,0.25
5742,18,3,3,1,0.25
2700,6,27,9,10,0.25
55,1,3,2,1,0.25
2474,6,6,2,1,0.25
5801,18,7,3,1,0.25
1068,3,5,2,1,0.25
1045,3,4,1,6,0.25
79,1,4,2,1,0.25
2543,6,11,9,10,0.25
5,1,1,2,1,0.25
2404,6,2,2,1,0.25
9516,35,8,9,10,0.25
2440,6,4,2,1,0.25
5992,18,32,3,1,0.25
2456,6,5,2,1,0.25
2439,6,4,1,6,0.25
994,3,2,2,1,0.25
9531,35,11,9,10,0.25
2710,6,29,1,6,0.25
1046,3,4,2,1,0.25
2530,6,10,2,1,0.25
2422,6,3,2,1,0.25
9520,35,9,9,10,0.25
7335,24,3,1,1,0.2368
6487,21,15,1,1,0.2368
7322,24,2,1,1,0.2368
2933,7,16,1,1,0.2368
5751,18,4,1,1,0.2368
6846,22,22,1,1,0.2368
5486,16,27,1,1,0.2368
5767,18,5,1,1,0.2368
2626,6,21,1,1,0.2368
5877,18,18,1,1,0.2368
8039,27,7,1,1,0.2368
817,2,22,1,1,0.2368
6585,22,1,1,1,0.2368
2211,5,21,1,1,0.2368
7692,25,21,1,1,0.2368
2281,5,26,1,1,0.2368
3753,9,26,1,1,0.2368
7830,26,10,1,1,0.2368
5343,16,7,1,1,0.2368
6550,21,25,1,1,0.2368
5345,16,8,1,1,0.2368
777,2,18,1,1,0.2368
7825,26,9,1,1,0.2368
1702,4,18,1,1,0.2368
7802,26,6,1,1,0.2368
7795,26,5,1,1,0.2368
7907,26,26,1,1,0.2368
5700,18,1,1,1,0.2368
2991,7,27,1,1,0.2368
1301,3,22,1,1,0.2368
6540,21,24,1,1,0.2368
7762,26,1,1,1,0.2368
5717,18,2,1,1,0.2368
6518,21,21,1,1,0.2368
293,1,18,1,1,0.2368
5193,15,21,1,1,0.2368
329,1,21,1,1,0.2368
2597,6,18,1,1,0.2368
5734,18,3,1,1,0.2368
2221,5,22,1,1,0.2368
6386,21,1,1,1,0.2368
6421,21,5,1,1,0.2368
2635,6,22,1,1,0.2368
338,1,22,1,1,0.2368
4846,14,8,1,1,0.2368
6606,22,2,1,1,0.2368
5784,18,6,1,1,0.2368
7450,24,16,1,1,0.2368
3293,8,16,1,1,0.2368
1256,3,18,1,1,0.2368
8113,27,16,1,1,0.2368
6625,22,3,1,1,0.2368
6431,21,6,1,1,0.2368
6682,22,6,1,1,0.2368
395,1,26,1,1,0.2368
6663,22,5,1,1,0.2368
3265,8,14,1,1,0.2368
2174,5,18,1,1,0.2368
7400,24,9,1,1,0.2368
2681,6,26,1,1,0.2368
2882,7,10,1,1,0.2368
7479,24,21,1,1,0.2368
6461,21,10,1,1,0.2368
4856,14,8,7,5,0.2222
8829,32,5,7,5,0.2222
9103,33,12,7,5,0.2222
8517,29,13,11,6,0.2222
4536,13,6,11,6,0.2222
1142,3,8,11,6,0.2222
4884,14,11,6,8,0.2222
2169,5,17,7,5,0.2222
4917,14,14,11,6,0.2222
46,1,2,11,6,0.2222
4859,14,8,11,6,0.2222
2548,6,12,11,6,0.2222
9115,33,15,7,5,0.2222
4901,14,13,11,6,0.2222
236,1,13,6,8,0.2222
8526,29,14,11,6,0.2222
525,2,1,11,6,0.2222
4914,14,14,7,5,0.2222
3104,8,3,11,6,0.2222
4561,13,8,6,8,0.2222
4844,14,7,7,5,0.2222
9096,33,10,7,5,0.2222
4565,13,8,11,6,0.2222
4843,14,7,6,8,0.2222
9093,33,8,6,8,0.2222
2397,6,1,11,6,0.2222
4582,13,10,7,5,0.2222
175,1,8,11,6,0.2222
4527,13,5,11,6,0.2222
2556,6,13,11,6,0.2222
2024,5,6,11,6,0.2222
672,2,8,11,6,0.2222
4898,14,13,7,5,0.2222
3060,8,1,11,6,0.2222
1207,3,13,11,6,0.2222
3374,8,22,6,8,0.2222
3375,8,22,7,5,0.2222
2004,5,5,11,6,0.2222
4479,13,1,11,6,0.2222
4475,13,1,6,8,0.2222
4493,13,2,11,6,0.2222
7821,26,8,6,8,0.2222
4892,14,12,11,6,0.2222
9111,33,14,7,5,0.2222
4890,14,12,7,5,0.2222
240,1,13,11,6,0.2222
4506,13,3,11,6,0.2222
8499,29,11,6,8,0.2222
8480,29,8,11,6,0.2222
7799,26,5,7,5,0.2222
3419,8,26,6,8,0.2222
3082,8,2,11,6,0.2222
1037,3,3,11,6,0.2222
4885,14,11,7,5,0.2222
2568,6,14,11,6,0.2222
4459,12,33,7,5,0.2222
2060,5,8,11,6,0.2222
3311,8,17,6,8,0.2222
985,3,1,11,6,0.2222
4765,14,1,11,6,0.2222
5032,14,29,11,6,0.2222
2139,5,14,11,6,0.2222
3264,8,13,11,6,0.2222
8621,29,29,11,6,0.2222
2713,6,29,11,6,0.2222
3476,8,32,6,8,0.2222
7864,26,15,7,5,0.2222
4597,13,12,7,5,0.2222
2125,5,13,11,6,0.2222
3203,8,8,11,6,0.2222
4781,14,2,11,6,0.2222
3275,8,14,7,5,0.2222
3198,8,8,6,8,0.2222
636,2,6,11,6,0.2222
731,2,13,11,6,0.2222
3480,8,33,6,8,0.2222
1562,4,5,7,5,0.2222
8980,32,22,7,5,0.2222
4725,13,29,11,6,0.2222
3260,8,13,6,8,0.2222
8921,32,15,7,5,0.2222
4761,14,1,6,8,0.2222
3233,8,10,7,5,0.2222
5049,14,33,7,5,0.2222
617,2,5,11,6,0.2222
8634,29,34,6,8,0.2222
718,2,12,11,6,0.2222
3250,8,12,11,6,0.2222
4742,13,34,6,8,0.2222
5056,14,34,6,8,0.2222
3243,8,11,6,8,0.2222
3278,8,14,11,6,0.2222
705,2,10,7,5,0.2222
4677,13,22,7,5,0.2222
4625,13,14,11,6,0.2222
251,1,14,6,8,0.2222
4599,13,12,11,6,0.2222
3248,8,12,7,5,0.2222
9080,33,4,7,5,0.2222
4838,14,6,11,6,0.2222
9074,33,1,7,5,0.2222
549,2,2,11,6,0.2222
4616,13,13,11,6,0.2222
5630,17,15,7,5,0.2222
3145,8,5,11,6,0.2222
4622,13,14,7,5,0.2222
8871,32,8,6,8,0.2222
4823,14,5,11,6,0.2222
1179,3,10,7,5,0.2222
1011,3,2,11,6,0.2222
2110,5,12,11,6,0.2222
4631,13,15,7,5,0.2222
255,1,14,11,6,0.2222
1396,3,29,11,6,0.2222
3289,8,15,7,5,0.2222
2097,5,10,7,5,0.2222
3168,8,6,11,6,0.2222
745,2,14,11,6,0.2222
3288,8,15,6,8,0.2222
3180,8,7,6,8,0.2222
573,2,3,11,6,0.2222
4796,14,3,11,6,0.2222
1192,3,12,11,6,0.2222
225,1,12,11,6,0.2222
3453,8,29,11,6,0.2222
9126,33,22,7,5,0.2222
8507,29,12,11,6,0.2222
4452,12,29,11,6,0.2222
4282,11,10,7,5,0.2222
116,1,5,11,6,0.2222
6897,22,26,7,5,0.2222
113,1,5,7,5,0.2222
4294,11,12,7,5,0.2222
2931,7,15,7,5,0.2222
4293,11,12,6,8,0.2222
2923,7,14,7,5,0.2222
4305,11,14,6,8,0.2222
2922,7,14,6,8,0.2222
1904,5,1,11,6,0.2222
4274,11,8,6,8,0.2222
1901,5,1,7,5,0.2222
3901,10,5,7,5,0.2222
2316,5,29,11,6,0.2222
8413,29,1,6,8,0.2222
4306,11,14,7,5,0.2222
8427,29,2,11,6,0.2222
4339,11,29,6,8,0.2222
4364,12,2,11,6,0.2222
3836,10,2,7,5,0.2222
6954,22,33,7,5,0.2222
4360,12,1,11,6,0.2222
2966,7,22,7,5,0.2222
6950,22,32,7,5,0.2222
2513,6,8,11,6,0.2222
4310,11,15,7,5,0.2222
466,1,33,7,5,0.2222
1085,3,5,11,6,0.2222
4324,11,22,7,5,0.2222
1930,5,2,11,6,0.2222
3859,10,3,7,5,0.2222
8416,29,1,11,6,0.2222
6863,22,22,7,5,0.2222
2486,6,6,11,6,0.2222
4257,11,6,6,8,0.2222
9384,34,29,6,8,0.2222
6726,22,8,7,5,0.2222
6725,22,8,6,8,0.2222
5578,17,5,7,5,0.2222
3987,10,10,7,5,0.2222
2842,7,6,6,8,0.2222
6707,22,7,7,5,0.2222
5596,17,8,6,8,0.2222
2905,7,12,7,5,0.2222
3996,10,11,7,5,0.2222
1850,4,33,7,5,0.2222
4011,10,13,7,5,0.2222
1106,3,6,11,6,0.2222
904,2,29,11,6,0.2222
2341,5,32,7,5,0.2222
2467,6,5,11,6,0.2222
4197,10,33,7,5,0.2222
6758,22,11,7,5,0.2222
1221,3,14,11,6,0.2222
6774,22,13,7,5,0.2222
2874,7,8,6,8,0.2222
3951,10,8,7,5,0.2222
6791,22,15,7,5,0.2222
6806,22,17,7,5,0.2222
5659,17,22,7,5,0.2222
3933,10,7,7,5,0.2222
433,1,29,6,8,0.2222
2893,7,10,7,5,0.2222
436,1,29,11,6,0.2222
9287,34,14,6,8,0.2222
9279,34,13,6,8,0.2222
2904,7,12,6,8,0.2222
4367,12,3,11,6,0.2222
2433,6,3,11,6,0.2222
21,1,1,11,6,0.2222
4381,12,7,7,5,0.2222
4394,12,11,7,5,0.2222
1956,5,3,11,6,0.2222
138,1,6,11,6,0.2222
4377,12,6,11,6,0.2222
4380,12,7,6,8,0.2222
70,1,3,11,6,0.2222
8465,29,6,11,6,0.2222
4399,12,12,7,5,0.2222
3001,7,29,6,8,0.2222
4402,12,12,11,6,0.2222
4406,12,13,7,5,0.2222
4393,12,11,6,8,0.2222
4408,12,13,11,6,0.2222
2286,5,26,7,5,0.2222
8437,29,3,11,6,0.2222
7890,26,22,7,5,0.2222
8454,29,5,11,6,0.2222
2415,6,2,11,6,0.2222
4371,12,5,11,6,0.2222
8470,29,7,6,8,0.2222
1977,5,4,7,5,0.2222
4385,12,8,7,5,0.2222
4412,12,14,7,5,0.2222
4387,12,8,11,6,0.2222
4414,12,14,11,6,0.2222
641,2,7,2,2,0.2174
9745,37,10,1,2,0.2174
9729,37,7,2,2,0.2174
934,2,34,2,2,0.2174
1426,3,34,2,2,0.2174
2848,7,7,2,2,0.2174
2787,7,2,2,2,0.2174
2800,7,3,2,2,0.2174
3299,8,16,2,2,0.2174
276,1,16,2,2,0.2174
2029,5,7,2,2,0.2174
5390,16,14,2,2,0.2174
9735,37,8,1,2,0.2174
9248,34,8,2,2,0.2174
2864,7,8,2,2,0.2174
8099,27,14,2,2,0.2174
2761,6,37,1,2,0.2174
4221,10,37,1,2,0.2174
2885,7,10,2,2,0.2174
3487,8,34,2,2,0.2174
7378,24,6,2,2,0.2174
5015,14,27,2,2,0.2174
2349,5,34,2,2,0.2174
9709,37,5,1,2,0.2174
5351,16,8,2,2,0.2174
7083,23,7,2,2,0.2174
3925,10,7,2,2,0.2174
9184,34,3,2,2,0.2174
9155,34,1,2,2,0.2174
1445,3,37,1,2,0.2174
3507,8,37,1,2,0.2174
9720,37,6,1,2,0.2174
5269,16,1,2,2,0.2174
5066,14,37,2,2,0.2174
9171,34,2,2,2,0.2174
1874,4,37,1,2,0.2174
4203,10,34,2,2,0.2174
7315,24,1,2,2,0.2174
9264,34,10,2,2,0.2174
9700,37,4,1,2,0.2174
5336,16,6,2,2,0.2174
2586,6,16,2,2,0.2174
9821,37,37,1,2,0.2174
495,1,37,1,2,0.2174
473,1,34,2,2,0.2174
3036,7,37,2,2,0.2174
9689,37,3,1,2,0.2174
7437,24,14,2,2,0.2174
2739,6,34,2,2,0.2174
9669,37,1,1,2,0.2174
9223,34,6,2,2,0.2174
4935,14,16,2,2,0.2174
9678,37,2,1,2,0.2174
2369,5,37,1,2,0.2174
953,2,37,1,2,0.2174
9764,37,14,2,2,0.2174
9197,34,4,2,2,0.2174
9412,34,34,2,2,0.2174
1856,4,34,2,2,0.2174
9209,34,5,2,2,0.2174
1111,3,7,2,2,0.2174
2971,7,23,2,2,0.2174
3173,8,7,2,2,0.2174
2824,7,5,2,2,0.2174
1126,3,8,2,1,0.2142
3154,8,6,2,1,0.2142
3048,8,1,2,1,0.2142
3069,8,2,2,1,0.2142
3939,10,8,2,1,0.2142
2044,5,8,2,1,0.2142
656,2,8,2,1,0.2142
3132,8,5,2,1,0.2142
3224,8,10,2,1,0.2142
3113,8,4,2,1,0.2142
1600,4,8,2,1,0.2142
3091,8,3,2,1,0.2142
160,1,8,2,1,0.2142
2501,6,8,2,1,0.2142
3187,8,8,2,1,0.2142
6395,21,2,1,1,0.2106
3170,8,7,1,1,0.2106
5442,16,21,1,1,0.2106
809,2,21,1,1,0.2106
4148,10,26,1,1,0.2106
1360,3,26,1,1,0.2106
2861,7,8,1,1,0.2106
3708,9,21,1,1,0.2106
3922,10,7,1,1,0.2106
2982,7,25,1,1,0.2106
1794,4,26,1,1,0.2106
2978,7,24,1,1,0.2106
7788,26,4,1,1,0.2106
6404,21,3,1,1,0.2106
6453,21,9,1,1,0.2106
1743,4,22,1,1,0.2106
3023,7,34,1,1,0.2106
1735,4,21,1,1,0.2106
7772,26,2,1,1,0.2106
6480,21,14,1,1,0.2106
6413,21,4,1,1,0.2106
3603,9,7,1,1,0.2106
2876,7,9,1,1,0.2106
4960,14,21,1,1,0.2106
9234,34,7,1,1,0.2106
7618,25,7,1,1,0.2106
872,2,26,1,1,0.2106
6644,22,4,1,1,0.2106
4087,10,21,1,1,0.2106
1292,3,21,1,1,0.2106
7780,26,3,1,1,0.2106
6494,21,16,1,1,0.2106
1809,4,27,3,1,0.2084
8255,27,34,3,1,0.2084
3719,9,22,3,1,0.2084
8243,27,32,3,1,0.2084
887,2,27,3,1,0.2084
3470,8,32,3,1,0.2084
8210,27,27,3,1,0.2084
3431,8,27,3,1,0.2084
9331,34,19,3,1,0.2084
8873,32,9,3,1,0.2084
5811,18,8,3,1,0.2084
6733,22,9,3,1,0.2084
414,1,27,3,1,0.2084
6236,19,18,3,1,0.2084
9375,34,27,3,1,0.2084
6364,19,34,3,1,0.2084
2878,7,9,3,1,0.2084
5900,18,19,3,1,0.2084
3605,9,7,3,1,0.2084
7969,27,2,3,1,0.2084
7953,27,1,3,1,0.2084
2297,5,27,3,1,0.2084
9008,32,27,3,1,0.2084
1376,3,27,3,1,0.2084
8000,27,4,3,1,0.2084
8053,27,8,3,1,0.2084
8041,27,7,3,1,0.2084
8014,27,5,3,1,0.2084
2993,7,27,3,1,0.2084
3784,9,32,3,1,0.2084
3489,8,34,3,1,0.2084
7985,27,3,3,1,0.2084
9789,37,23,2,14,0.2
7509,24,24,2,14,0.2
7691,25,19,10,15,0.2
4877,14,10,2,14,0.2
9771,37,16,2,14,0.2
9684,37,2,2,14,0.2
2089,5,10,2,14,0.2
3851,10,3,2,14,0.2
6305,19,24,10,15,0.2
4136,10,24,2,14,0.2
4640,13,16,10,15,0.2
7498,24,23,2,14,0.2
3608,9,7,5,7,0.2
4119,10,23,2,14,0.2
8218,27,27,10,15,0.2
3828,10,2,2,14,0.2
6224,19,16,10,15,0.2
6260,19,19,10,15,0.2
1025,3,3,2,14,0.2
7737,25,27,10,15,0.2
1944,5,3,2,14,0.2
537,2,2,2,14,0.2
7726,25,25,10,15,0.2
1073,3,5,2,14,0.2
8191,27,24,10,15,0.2
4022,10,14,2,14,0.2
2037,5,7,5,7,0.2
7716,25,24,10,15,0.2
9796,37,24,2,14,0.2
2375,5,37,2,14,0.2
4615,13,13,10,15,0.2
8199,27,25,10,15,0.2
9765,37,14,2,14,0.2
561,2,3,2,14,0.2
4663,13,19,10,15,0.2
7675,25,16,10,15,0.2
6136,19,7,5,7,0.2
7477,24,19,10,15,0.2
1119,3,7,5,7,0.2
1171,3,10,2,14,0.2
6198,19,13,10,15,0.2
4714,13,27,10,15,0.2
4790,14,3,2,14,0.2
605,2,5,2,14,0.2
9715,37,5,2,14,0.2
7540,24,27,10,15,0.2
9827,37,37,2,14,0.2
9695,37,3,2,14,0.2
3932,10,7,5,7,0.2
8093,27,13,10,15,0.2
4775,14,2,2,14,0.2
7568,24,37,2,14,0.2
4227,10,37,2,14,0.2
8126,27,16,10,15,0.2
2133,5,14,2,14,0.2
1992,5,5,2,14,0.2
649,2,7,5,7,0.2
8157,27,19,10,15,0.2
6313,19,25,10,15,0.2
1918,5,2,2,14,0.2
9751,37,10,2,14,0.2
2159,5,16,2,14,0.2
