,7nio_A_fpocket,7nio_E_fpocket,7nio_A_p2rank,7nio_E_p2rank,IoU
9824,37,37,2,2,0.2373
1523,4,4,1,1,0.133
2469,6,6,1,1,0.1309
1982,5,5,1,1,0.1245
9027,32,32,3,1,0.12396
3975,10,10,2,2,0.1215
8392,28,28,8,9,0.1205
7225,23,23,2,2,0.1205
527,2,2,1,1,0.1169
1015,3,3,1,1,0.1159
3969,10,10,1,1,0.1156
0,1,1,1,1,0.1111
9144,33,33,6,8,0.1053
9145,33,33,7,5,0.10254
3182,8,8,1,1,0.1024
9407,34,34,1,1,0.10236
989,3,2,1,1,0.10077
1960,5,4,1,1,0.0997
1532,4,4,3,1,0.09955
1063,3,5,1,1,0.09924
1545,4,5,1,1,0.099
551,2,3,1,1,0.0985
533,2,2,2,2,0.0965
2475,6,6,2,2,0.09644
1021,3,3,2,2,0.09607
1884,5,1,1,1,0.0958
3188,8,8,2,2,0.09546
1934,5,3,1,1,0.0954
9036,32,32,6,8,0.0952
96,1,5,1,1,0.0952
4903,14,14,1,1,0.095
2850,7,7,3,1,0.09357
1041,3,4,1,1,0.0935
74,1,4,1,1,0.09326
1457,4,1,1,1,0.09326
1988,5,5,2,2,0.0932
595,2,5,1,1,0.09186
2451,6,5,1,1,0.0918
1908,5,2,1,1,0.09155
538,2,2,3,1,0.0909
965,3,1,1,1,0.09
1501,4,3,1,1,0.08936
2525,6,10,1,1,0.08923
2381,6,1,1,1,0.08887
6524,21,21,8,9,0.0887
2008,5,6,1,1,0.0875
120,1,6,1,1,0.0875
50,1,3,1,1,0.0871
575,2,4,1,1,0.087
505,2,1,1,1,0.0868
2435,6,4,1,1,0.08655
1026,3,3,3,1,0.0858
1479,4,2,1,1,0.0858
26,1,2,1,1,0.0857
6255,19,19,4,4,0.0855
619,2,6,1,1,0.0847
2399,6,2,1,1,0.0847
2417,6,3,1,1,0.0836
995,3,2,2,2,0.083
1089,3,6,1,1,0.0822
5399,16,16,1,1,0.08215
1567,4,6,1,1,0.0821
6251,19,19,3,1,0.082
2079,5,10,1,1,0.08136
3864,10,4,1,1,0.0813
557,2,3,2,2,0.0812
1632,4,10,1,1,0.081
1069,3,5,2,2,0.0809
8202,27,27,1,1,0.0808
7123,23,10,2,2,0.0806
3906,10,6,1,1,0.08044
1121,3,8,1,1,0.08014
1167,3,10,2,2,0.0797
4908,14,14,2,2,0.07947
4116,10,23,2,2,0.07904
2845,7,7,1,1,0.0787
4915,14,14,8,9,0.07855
693,2,10,2,2,0.0783
3883,10,5,1,1,0.07794
1940,5,3,2,2,0.07776
9,1,1,3,1,0.07776
3196,8,8,4,4,0.07733
3086,8,3,1,1,0.0772
2039,5,8,1,1,0.0769
3127,8,5,1,1,0.07666
3847,10,3,2,2,0.07666
1161,3,10,1,1,0.0761
4606,13,13,3,1,0.0757
2085,5,10,2,2,0.0756
3889,10,5,2,2,0.0756
3824,10,2,2,2,0.0751
601,2,5,2,2,0.0748
687,2,10,1,1,0.0747
1000,3,2,3,1,0.07465
1914,5,2,2,2,0.0746
194,1,10,1,1,0.0745
1993,5,5,3,1,0.0744
3064,8,2,1,1,0.0742
651,2,8,1,1,0.0739
1127,3,8,2,2,0.07336
5164,15,15,1,1,0.0732
3624,9,9,1,1,0.0732
2531,6,10,2,2,0.07306
562,2,3,3,1,0.073
1595,4,8,1,1,0.07294
3108,8,4,1,1,0.0727
1537,4,4,4,4,0.07245
6862,22,22,6,8,0.0721
1050,3,4,3,1,0.07196
3797,10,1,1,1,0.0714
2496,6,8,1,1,0.07117
3092,8,3,2,2,0.0709
4289,11,11,7,5,0.07086
2557,6,14,1,1,0.07056
3133,8,5,2,2,0.0704
584,2,4,3,1,0.07025
6860,22,22,5,7,0.0702
2045,5,8,2,2,0.0701
3841,10,3,1,1,0.0697
1488,4,2,3,1,0.06934
3225,8,10,2,2,0.06934
3984,10,10,4,4,0.06915
3149,8,6,1,1,0.0691
4825,14,6,1,1,0.0691
3155,8,6,2,2,0.069
3940,10,8,2,2,0.06885
1510,4,3,3,1,0.0687
1131,3,8,3,1,0.0687
3912,10,6,2,2,0.0686
4224,10,37,2,2,0.0686
9040,32,33,6,8,0.06836
9139,33,32,6,8,0.06836
3818,10,2,1,1,0.06824
3070,8,2,2,2,0.0679
5171,15,15,8,9,0.0679
657,2,8,2,2,0.0676
9748,37,10,2,2,0.0676
1466,4,1,3,1,0.0675
83,1,4,3,1,0.0675
514,2,1,3,1,0.0675
7305,23,37,2,2,0.06744
2502,6,8,2,2,0.06744
5638,17,17,6,8,0.0672
661,2,8,3,1,0.0669
974,3,1,3,1,0.06665
35,1,2,3,1,0.06665
155,1,8,1,1,0.06647
3043,8,1,1,1,0.06647
1604,4,8,3,1,0.066
1326,3,23,2,2,0.0658
2049,5,8,3,1,0.0657
1031,3,3,4,4,0.0655
840,2,23,2,2,0.06537
8391,28,28,4,4,0.06525
6,1,1,2,2,0.06525
7024,23,3,2,2,0.0651
7056,23,5,2,2,0.0651
3384,8,23,2,2,0.06464
59,1,3,3,1,0.0645
2405,6,2,2,2,0.0644
625,2,6,2,2,0.0644
2246,5,23,2,2,0.0641
7006,23,2,2,2,0.0641
7095,23,8,2,2,0.0639
2423,6,3,2,2,0.0638
1998,5,5,4,4,0.06354
9787,37,23,2,2,0.0635
4015,10,14,1,1,0.0632
2457,6,5,2,2,0.0631
4870,14,10,1,1,0.06274
1095,3,6,2,2,0.0627
1074,3,5,3,1,0.0625
6501,21,17,8,9,0.06213
2654,6,23,2,2,0.06204
7717,25,25,1,1,0.0619
1969,5,4,3,1,0.06186
2859,7,7,7,5,0.06165
1554,4,5,3,1,0.06143
606,2,5,3,1,0.06122
1919,5,2,3,1,0.061
5363,16,10,1,1,0.06094
2580,6,16,1,1,0.0607
9820,37,37,1,1,0.0606
164,1,8,3,1,0.06012
2014,5,6,2,2,0.06012
956,2,37,2,2,0.0601
1945,5,3,3,1,0.06006
6257,19,19,5,7,0.06
971,3,1,2,2,0.06
6351,19,32,3,1,0.0599
5330,16,6,1,1,0.05966
4612,13,13,7,5,0.0596
6568,21,28,8,9,0.0595
9821,37,37,1,2,0.0595
1529,4,4,2,2,0.05936
7074,23,6,2,2,0.05923
3510,8,37,2,2,0.0591
1448,3,37,2,2,0.05908
5877,18,18,1,1,0.05884
9665,35,35,9,10,0.05884
1841,4,32,3,1,0.0586
8805,32,4,3,1,0.05838
8367,28,21,8,9,0.05814
56,1,3,2,2,0.05807
8954,32,19,3,1,0.05804
643,2,7,3,1,0.05798
1136,3,8,4,4,0.05792
511,2,1,2,2,0.0579
6846,22,22,1,1,0.05768
8847,32,7,3,1,0.05768
3010,7,32,3,1,0.05768
5692,17,33,6,8,0.05756
1890,5,1,2,2,0.0575
1893,5,1,3,1,0.0575
918,2,32,3,1,0.05746
9414,34,34,3,1,0.05737
32,1,2,2,2,0.05713
102,1,5,2,2,0.05713
105,1,5,3,1,0.05713
2483,6,6,8,9,0.057
2126,5,14,1,1,0.05667
1005,3,2,4,4,0.0566
2387,6,1,2,2,0.05643
6086,19,4,3,1,0.0564
4810,14,5,1,1,0.0563
8353,28,17,8,9,0.05618
3640,9,10,1,1,0.05618
4036,10,16,1,1,0.05615
1665,4,14,1,1,0.0561
4798,14,4,1,1,0.0561
9692,37,3,2,2,0.056
3100,8,3,4,4,0.05597
1113,3,7,3,1,0.05594
3803,10,1,2,2,0.0559
200,1,10,2,2,0.0559
8862,32,8,3,1,0.0558
1587,4,7,3,1,0.05576
3141,8,5,4,4,0.05554
126,1,6,2,2,0.05554
9020,32,32,1,1,0.05554
2813,7,4,3,1,0.05554
14,1,1,4,4,0.05554
9681,37,2,2,2,0.05554
2054,5,8,4,4,0.05536
3980,10,10,3,1,0.05527
1079,3,5,4,4,0.05515
4752,14,1,1,1,0.05502
242,1,14,1,1,0.05502
5113,15,6,1,1,0.05493
2372,5,37,2,2,0.0549
2570,6,15,1,1,0.05475
3593,9,6,1,1,0.05453
9712,37,5,2,2,0.05447
2789,7,2,3,1,0.05423
9738,37,8,2,2,0.05405
2515,6,9,1,1,0.05396
1055,3,4,4,4,0.05396
8776,32,2,3,1,0.05377
2764,6,37,2,2,0.05365
3219,8,10,1,1,0.05356
3934,10,8,1,1,0.05356
2802,7,3,3,1,0.0535
5316,16,5,1,1,0.05347
1413,3,32,3,1,0.05344
3078,8,2,4,4,0.05338
3049,8,1,2,2,0.05328
161,1,8,2,2,0.05328
5889,18,18,4,4,0.0531
1950,5,3,4,4,0.053
6853,22,22,3,1,0.05298
3634,9,9,5,7,0.05295
732,2,14,1,1,0.05283
6049,19,2,3,1,0.05283
1725,4,19,3,1,0.05264
1609,4,8,4,4,0.05246
5236,15,28,8,9,0.05237
7233,23,23,4,4,0.05234
3121,8,4,4,4,0.05228
800,2,19,3,1,0.0519
5023,14,28,8,9,0.05182
6518,21,21,1,1,0.05173
1974,5,4,4,4,0.05173
9887,38,38,1,3,0.05173
4349,11,33,7,5,0.0516
5687,17,32,6,8,0.0516
8341,28,14,8,9,0.05154
1515,4,3,4,4,0.05154
6484,21,14,8,9,0.0514
1559,4,5,4,4,0.05136
7913,26,26,6,8,0.05127
9119,33,17,6,8,0.05127
2473,6,6,1,6,0.05127
9100,33,11,7,5,0.05127
5304,16,4,1,1,0.05112
8792,32,3,3,1,0.0509
2151,5,16,1,1,0.0509
1924,5,2,4,4,0.05084
2866,7,8,3,1,0.05072
3578,9,5,1,1,0.0507
9886,38,38,1,1,0.05063
3563,9,4,1,1,0.05054
2686,6,27,1,1,0.05054
7502,24,24,1,1,0.05023
5216,15,25,1,1,0.0502
5263,16,1,1,1,0.05
4656,13,19,3,1,0.05
2566,6,14,8,9,0.05
979,3,1,4,4,0.05
6145,19,8,3,1,0.04984
5385,16,14,1,1,0.04962
5162,15,14,8,9,0.04956
9723,37,6,2,2,0.04956
5197,15,21,8,9,0.04956
1493,4,2,4,4,0.0495
3186,8,8,1,6,0.0495
4768,14,2,1,1,0.04947
7661,25,15,1,1,0.04944
4556,13,8,3,1,0.04944
7235,23,23,5,7,0.04938
7993,27,4,1,1,0.04938
1802,4,27,1,1,0.04938
6030,19,1,3,1,0.04935
4942,14,17,8,9,0.04932
2562,6,14,2,2,0.04932
1208,3,14,1,1,0.0493
4727,13,32,3,1,0.04926
6090,19,4,4,4,0.04926
3986,10,10,5,7,0.0492
6858,22,22,4,4,0.0492
145,1,7,3,1,0.04892
2774,7,1,3,1,0.04892
4964,14,21,8,9,0.0489
4836,14,6,8,9,0.0489
724,2,13,3,1,0.04877
6068,19,3,3,1,0.04877
3956,10,9,1,1,0.04877
5179,15,17,8,9,0.04868
6953,22,33,6,8,0.0485
6949,22,32,6,8,0.0485
64,1,3,4,4,0.0484
4830,14,6,2,2,0.04825
1471,4,1,4,4,0.04822
88,1,4,4,4,0.04822
6191,19,13,3,1,0.0482
5142,15,10,1,1,0.0481
6491,21,15,8,9,0.04803
4486,13,2,3,1,0.04794
1281,3,19,3,1,0.04794
454,1,32,3,1,0.0479
1685,4,16,1,1,0.0479
8758,32,1,3,1,0.0479
1898,5,1,4,4,0.0479
8345,28,15,8,9,0.04785
6149,19,8,4,4,0.0478
3518,9,1,1,1,0.04776
270,1,16,1,1,0.04776
8022,27,6,1,1,0.0476
2064,5,9,1,1,0.0476
110,1,5,4,4,0.0476
2289,5,27,1,1,0.0476
40,1,2,4,4,0.0476
3056,8,1,4,4,0.04745
4930,14,16,1,1,0.04745
169,1,8,4,4,0.04745
4927,14,15,8,9,0.04742
8006,27,5,1,1,0.04733
3232,8,10,4,4,0.04727
3665,9,14,1,1,0.04727
4020,10,14,2,2,0.04724
4783,14,3,1,1,0.04715
1176,3,10,4,4,0.0471
8979,32,22,6,8,0.04706
9125,33,22,6,8,0.04706
1617,4,9,1,1,0.04697
6259,19,19,10,13,0.04697
3948,10,8,4,4,0.04694
7708,25,24,1,1,0.04694
3877,10,4,4,4,0.04694
3870,10,4,2,2,0.04694
4509,13,4,3,1,0.0468
7635,25,10,1,1,0.04675
1047,3,4,2,2,0.04675
1851,4,34,1,1,0.04675
9412,34,34,2,2,0.04672
3482,8,34,1,1,0.0467
4875,14,10,2,2,0.0467
3199,8,8,7,5,0.04663
1645,4,10,4,4,0.0466
9192,34,4,1,1,0.0466
1638,4,10,2,2,0.0466
5358,16,9,1,1,0.0466
2026,5,7,1,1,0.0465
8933,32,17,6,8,0.0465
6181,19,10,4,4,0.04642
4614,13,13,10,13,0.04636
5893,18,18,12,12,0.0463
318,1,19,3,1,0.0463
2821,7,5,1,1,0.0462
3345,8,19,4,4,0.0461
6053,19,2,4,4,0.0461
406,1,27,1,1,0.0461
7945,27,1,1,1,0.0461
1658,4,13,3,1,0.04605
1729,4,19,4,4,0.04593
5290,16,3,1,1,0.0459
5174,15,16,1,1,0.0458
9243,34,8,1,1,0.0458
2333,5,32,3,1,0.04578
6072,19,3,4,4,0.04578
6991,23,1,2,2,0.0456
365,1,23,2,2,0.0456
8821,32,5,3,1,0.04544
2706,6,28,8,9,0.04544
3423,8,27,1,1,0.04532
3856,10,3,4,4,0.0453
737,2,14,2,2,0.0453
6108,19,5,4,4,0.0453
8897,32,13,3,1,0.04526
8217,27,27,10,13,0.04517
8248,27,34,1,1,0.04507
9368,34,27,1,1,0.04507
6867,22,22,12,12,0.04504
5104,15,5,1,1,0.04504
1233,3,16,1,1,0.045
1285,3,19,4,4,0.04498
5394,16,15,1,1,0.04495
3632,9,9,4,4,0.04495
929,2,34,1,1,0.04495
2734,6,34,1,1,0.0449
1966,5,4,2,2,0.04483
6104,19,5,3,1,0.04483
179,1,9,1,1,0.04477
7156,23,14,2,2,0.04477
5208,15,24,1,1,0.04468
1601,4,8,2,2,0.04468
1507,4,3,2,2,0.04468
2094,5,10,4,4,0.04468
3898,10,5,4,4,0.04468
8045,27,8,1,1,0.0446
2344,5,34,1,1,0.04453
1551,4,5,2,2,0.04453
3114,8,4,2,2,0.04453
5276,16,2,1,1,0.04443
4738,13,33,7,5,0.04443
9204,34,5,1,1,0.04437
1199,3,13,3,1,0.04437
1584,4,7,1,1,0.04437
3679,9,16,1,1,0.04437
2672,6,25,1,1,0.04437
2810,7,4,1,1,0.04422
2631,6,21,8,9,0.0442
7907,26,26,1,1,0.04413
4861,14,9,1,1,0.04407
5658,17,22,6,8,0.04395
3833,10,2,4,4,0.0439
2595,6,17,8,9,0.04382
8350,28,16,8,9,0.0437
3021,7,33,7,5,0.0437
9089,33,7,7,5,0.0437
4980,14,23,2,2,0.04364
5120,15,6,8,9,0.04364
7609,25,6,1,1,0.0436
757,2,16,1,1,0.0436
4499,13,3,3,1,0.0435
879,2,27,1,1,0.0435
2577,6,15,8,9,0.0435
581,2,4,2,2,0.0435
3988,10,10,8,9,0.0435
638,2,7,1,1,0.0435
4401,12,12,9,10,0.0435
4082,10,19,4,4,0.0435
1368,3,27,1,1,0.0435
1421,3,34,1,1,0.0435
9218,34,6,1,1,0.0433
531,2,2,1,6,0.0433
1539,4,4,5,7,0.04327
7936,26,33,6,8,0.04324
2661,6,24,1,1,0.04318
2203,5,19,4,4,0.04318
2031,5,7,3,1,0.04318
5157,15,14,1,1,0.04315
4471,13,1,3,1,0.0431
2141,5,15,1,1,0.0431
1019,3,3,1,6,0.0431
4267,11,7,7,5,0.04306
6436,21,6,8,9,0.04297
5070,15,1,1,1,0.04297
1485,4,2,2,2,0.0429
2826,7,5,3,1,0.0429
2900,7,11,7,5,0.04285
2770,7,1,1,1,0.04282
141,1,7,1,1,0.04282
468,1,34,1,1,0.04276
9150,34,1,1,1,0.04276
6034,19,1,4,4,0.04276
2199,5,19,3,1,0.04276
6131,19,7,3,1,0.04263
231,1,13,3,1,0.04242
7725,25,25,10,13,0.04242
5412,16,16,10,13,0.04242
1213,3,14,2,2,0.0424
4773,14,2,2,2,0.0424
1986,5,5,1,6,0.04236
4129,10,24,1,1,0.04227
5097,15,4,1,1,0.04218
9166,34,2,1,1,0.0421
4029,10,15,1,1,0.04208
8315,28,6,8,9,0.04202
1108,3,7,1,1,0.04196
8214,27,27,4,4,0.04193
5411,16,16,8,9,0.04193
9179,34,3,1,1,0.0418
4543,13,7,3,1,0.04166
7977,27,3,1,1,0.04166
7669,25,16,1,1,0.04166
3329,8,18,4,4,0.04166
2488,6,7,1,1,0.04166
258,1,15,1,1,0.04156
4920,14,15,1,1,0.0415
1714,4,18,4,4,0.04132
7961,27,2,1,1,0.0413
7932,26,32,6,8,0.04123
6805,22,17,6,8,0.04123
2441,6,4,2,2,0.04114
5477,16,25,1,1,0.04105
1463,4,1,2,2,0.04102
80,1,4,2,2,0.04102
4140,10,25,1,1,0.04095
2784,7,2,1,1,0.04068
2131,5,14,2,2,0.04068
6239,19,18,4,4,0.04062
5885,18,18,3,1,0.04053
4788,14,3,2,2,0.04053
4549,13,7,7,5,0.04053
1677,4,15,1,1,0.04047
6282,19,22,5,7,0.0404
2834,7,6,1,1,0.0404
4815,14,5,2,2,0.0404
9108,33,13,7,5,0.0404
9032,32,32,4,4,0.0404
747,2,15,1,1,0.04037
3810,10,1,4,4,0.04037
207,1,10,4,4,0.04037
7408,24,10,1,1,0.04028
5137,15,9,1,1,0.04028
4520,13,5,3,1,0.04028
2947,7,19,3,1,0.04028
322,1,19,4,4,0.04013
2797,7,3,1,1,0.04013
5079,15,2,1,1,0.04
5177,15,16,8,9,0.04
3629,9,9,3,1,0.04
7654,25,14,1,1,0.04
4592,13,11,7,5,0.03983
9132,33,26,6,8,0.0398
9050,32,34,3,1,0.03955
8208,27,27,2,2,0.03955
9398,34,32,3,1,0.03955
2259,5,24,1,1,0.0394
3873,10,4,3,1,0.03928
5088,15,3,1,1,0.03928
2912,7,13,3,1,0.0392
3548,9,3,1,1,0.0392
9114,33,15,6,8,0.0392
9823,37,37,2,1,0.0392
1641,4,10,3,1,0.03915
3944,10,8,3,1,0.03915
7518,24,25,1,1,0.03915
698,2,10,3,1,0.03915
3723,9,22,5,7,0.03903
1573,4,6,2,2,0.03903
6258,19,19,8,9,0.03897
1268,3,18,4,4,0.0389
1223,3,15,1,1,0.03882
2117,5,13,3,1,0.0387
5123,15,7,1,1,0.0386
3153,8,6,1,6,0.0386
7041,23,4,2,2,0.0386
7512,24,24,8,9,0.03845
6497,21,16,8,9,0.03845
3533,9,2,1,1,0.03845
9043,32,34,1,1,0.03845
9391,34,32,1,1,0.03845
4996,14,25,1,1,0.03833
1146,3,9,1,1,0.03833
3270,8,14,2,2,0.0383
5672,17,26,6,8,0.03827
3674,9,15,1,1,0.0382
1125,3,8,1,6,0.03818
6183,19,10,5,7,0.03815
3704,9,19,5,7,0.03815
2000,5,5,5,7,0.03815
7869,26,17,6,8,0.0381
8998,32,26,6,8,0.0381
4153,10,27,1,1,0.03806
2918,7,13,7,5,0.03796
6165,19,9,5,7,0.03796
4288,11,11,6,8,0.03787
8070,27,10,1,1,0.0378
7601,25,5,1,1,0.03778
3481,8,33,7,5,0.03775
2500,6,8,1,6,0.03775
7571,25,1,1,1,0.0377
5503,16,28,8,9,0.03763
6838,22,19,5,7,0.03757
3829,10,2,3,1,0.03754
1767,4,23,2,2,0.03754
1777,4,24,1,1,0.0375
8215,27,27,8,9,0.0375
375,1,24,1,1,0.03748
3023,7,34,1,1,0.03738
9234,34,7,1,1,0.03738
7889,26,22,6,8,0.03738
4937,14,16,8,9,0.03735
993,3,2,1,6,0.03732
4134,10,24,2,2,0.03732
4987,14,24,1,1,0.0373
5469,16,24,1,1,0.0373
4303,11,13,7,5,0.0372
2925,7,15,1,1,0.03717
3894,10,5,3,1,0.03717
2090,5,10,3,1,0.03717
4,1,1,1,6,0.03705
3131,8,5,1,6,0.03705
2043,5,8,1,6,0.0369
3090,8,3,1,6,0.0369
3973,10,10,1,6,0.03683
7595,25,4,1,1,0.0368
1067,3,5,1,6,0.03677
387,1,25,1,1,0.0367
674,2,9,1,1,0.03668
7507,24,24,2,2,0.03665
6177,19,10,3,1,0.0366
555,2,3,1,6,0.0365
4006,10,13,3,1,0.0365
7442,24,15,1,1,0.03644
2273,5,25,1,1,0.0364
6896,22,26,6,8,0.03638
4578,13,10,3,1,0.03638
9816,37,34,2,2,0.03638
9409,34,34,1,3,0.03638
9436,34,37,2,2,0.03638
8920,32,15,6,8,0.03638
1172,3,10,3,1,0.03622
5890,18,18,10,13,0.03604
3244,8,11,7,5,0.036
4851,14,8,2,2,0.03598
9433,34,37,1,1,0.03598
9813,37,34,1,1,0.03598
7373,24,6,1,1,0.03595
6737,22,9,5,7,0.0359
2471,6,6,1,3,0.0359
5751,18,4,1,1,0.03586
1702,4,18,1,1,0.03586
3650,9,10,5,7,0.03586
9654,35,35,1,1,0.0357
7479,24,21,1,1,0.0357
4084,10,19,5,7,0.0357
3974,10,10,2,1,0.0357
7543,24,28,8,9,0.03552
7433,24,14,1,1,0.03546
6848,22,22,1,3,0.03546
5629,17,15,6,8,0.0354
1938,5,3,1,6,0.03534
3068,8,2,1,6,0.03534
7131,23,10,4,4,0.0353
7723,25,25,8,9,0.0353
1788,4,25,1,1,0.0353
655,2,8,1,6,0.03522
4757,14,1,2,2,0.03516
247,1,14,2,2,0.03516
4562,13,8,7,5,0.03516
2186,5,18,4,4,0.0351
853,2,24,1,1,0.03503
1339,3,24,1,1,0.0349
3852,10,3,3,1,0.03485
2591,6,16,8,9,0.03476
3739,9,24,1,1,0.03473
9094,33,8,7,5,0.03464
543,2,2,4,4,0.03464
4124,10,23,4,4,0.0346
1256,3,18,1,1,0.0345
4078,10,19,3,1,0.03436
3390,8,23,4,4,0.03436
3181,8,7,7,5,0.03436
7629,25,9,1,1,0.03436
3747,9,25,1,1,0.03436
865,2,25,1,1,0.03427
7359,24,5,1,1,0.03427
5486,16,27,1,1,0.0342
203,1,10,3,1,0.03415
3806,10,1,3,1,0.03415
6540,21,24,1,1,0.0341
6092,19,4,5,7,0.0341
5343,16,7,1,1,0.0341
5193,15,21,1,1,0.0341
599,2,5,1,6,0.03403
2482,6,6,4,4,0.03397
7102,23,8,4,4,0.03397
6461,21,10,1,1,0.03397
3192,8,8,3,1,0.03397
623,2,6,1,6,0.0339
1912,5,2,1,6,0.0339
4067,10,18,4,4,0.0339
2403,6,2,1,6,0.0339
7485,24,21,8,9,0.0338
3026,7,34,3,1,0.0338
9237,34,7,3,1,0.0338
305,1,18,4,4,0.03378
6790,22,15,6,8,0.03375
6335,19,28,8,9,0.03372
5734,18,3,1,1,0.03372
2597,6,18,1,1,0.03372
2001,5,5,7,5,0.0336
6754,22,10,5,7,0.0336
2421,6,3,1,6,0.03357
3736,9,23,5,7,0.03348
6658,22,4,5,7,0.03348
3261,8,13,7,5,0.03345
4275,11,8,7,5,0.03345
3573,9,4,5,7,0.03345
969,3,1,1,6,0.03333
7587,25,3,1,1,0.03333
6651,22,4,3,1,0.03333
2626,6,21,1,1,0.03333
9672,37,1,2,2,0.03333
498,1,37,2,2,0.03333
2635,6,22,1,1,0.03333
2455,6,5,1,6,0.03323
777,2,18,1,1,0.0332
1757,4,22,5,7,0.0332
3966,10,9,5,7,0.0332
6487,21,15,1,1,0.0332
7579,25,2,1,1,0.03314
8356,28,18,4,4,0.0331
1301,3,22,1,1,0.03308
2875,7,8,7,5,0.03308
4108,10,22,5,7,0.03305
1750,4,22,3,1,0.03305
8376,28,24,8,9,0.03302
1093,3,6,1,6,0.033
9419,34,34,6,8,0.03296
1352,3,25,1,1,0.03293
7740,25,28,8,9,0.03278
4398,12,12,6,8,0.03278
7692,25,21,1,1,0.0327
5717,18,2,1,1,0.0327
4662,13,19,10,13,0.0327
5165,15,15,1,3,0.03262
6431,21,6,1,1,0.0325
8113,27,16,1,1,0.0325
6682,22,6,1,1,0.0325
6663,22,5,1,1,0.0325
5405,16,16,2,2,0.03244
7736,25,27,10,13,0.0324
2221,5,22,1,1,0.03238
6644,22,4,1,1,0.03238
3879,10,4,5,7,0.03238
3265,8,14,1,1,0.03238
7348,24,4,1,1,0.03235
4170,10,28,8,9,0.03226
9408,34,34,1,2,0.03226
4348,11,33,6,8,0.03226
5784,18,6,1,1,0.03226
7133,23,10,5,7,0.03226
54,1,3,1,6,0.03226
509,2,1,1,6,0.03217
1743,4,22,1,1,0.03214
6466,21,10,8,9,0.03214
1647,4,10,5,7,0.03214
6550,21,25,1,1,0.03214
1525,4,4,1,3,0.0321
8333,28,10,8,9,0.0321
2474,6,6,2,1,0.0321
6243,19,19,1,1,0.03207
4601,13,13,1,1,0.03207
7239,23,24,2,2,0.03204
9099,33,11,6,8,0.03204
4846,14,8,1,1,0.03204
7310,24,1,1,1,0.03198
858,2,24,2,2,0.03195
1344,3,24,2,2,0.03195
7218,23,22,5,7,0.03195
1888,5,1,1,6,0.03195
6625,22,3,1,1,0.03192
4613,13,13,8,9,0.03186
6480,21,14,1,1,0.03186
4906,14,14,1,6,0.03186
6881,22,23,5,7,0.03183
1731,4,19,5,7,0.0318
817,2,22,1,1,0.0318
2385,6,1,1,6,0.03174
6528,21,21,12,12,0.03174
100,1,5,1,6,0.03174
30,1,2,1,6,0.03174
3708,9,21,1,1,0.03174
9794,37,24,2,2,0.03168
7047,23,4,4,4,0.03168
2012,5,6,1,6,0.03165
159,1,8,1,6,0.03165
3047,8,1,1,6,0.03165
4465,12,35,9,10,0.03165
4126,10,23,5,7,0.03162
2933,7,16,1,1,0.0316
3970,10,10,1,2,0.0316
9037,32,32,7,5,0.0316
6546,21,24,8,9,0.03152
8664,30,30,4,4,0.0315
4092,10,21,8,9,0.0315
6298,19,23,5,7,0.0315
4054,10,17,8,9,0.0315
4025,10,14,8,9,0.0315
8039,27,7,1,1,0.03146
2991,7,27,1,1,0.03146
6197,19,13,10,13,0.0314
1528,4,4,2,1,0.0314
6606,22,2,1,1,0.03137
7450,24,16,1,1,0.03137
2174,5,18,1,1,0.03137
6110,19,5,5,7,0.03137
7200,23,19,5,7,0.03137
124,1,6,1,6,0.03125
6940,22,32,3,1,0.03125
5767,18,5,1,1,0.03125
4880,14,10,8,9,0.03113
7674,25,16,10,13,0.03111
1627,4,9,5,7,0.03104
1976,5,4,5,7,0.03104
6276,19,22,3,1,0.03098
3900,10,5,5,7,0.03093
2096,5,10,5,7,0.03093
7115,23,9,5,7,0.03088
5172,15,15,9,10,0.03087
8733,31,31,1,1,0.03087
3588,9,5,5,7,0.03082
2882,7,10,1,1,0.03082
1773,4,23,4,4,0.03082
1561,4,5,5,7,0.03082
2537,6,10,8,9,0.03076
2264,5,24,2,2,0.03067
8380,28,25,8,9,0.03061
3753,9,26,1,1,0.03061
8198,27,25,10,13,0.03056
5482,16,25,10,13,0.03056
5392,16,14,8,9,0.03056
5446,16,21,8,9,0.03056
4960,14,21,1,1,0.03053
5700,18,1,1,1,0.0305
8970,32,22,3,1,0.03046
5498,16,27,10,13,0.03044
5397,16,15,8,9,0.03044
293,1,18,1,1,0.03041
7400,24,9,1,1,0.03041
7863,26,15,6,8,0.0303
8362,28,19,8,9,0.0303
529,2,2,1,3,0.0303
532,2,2,2,1,0.0303
5345,16,8,1,1,0.0303
2470,6,6,1,2,0.0303
6716,22,8,3,1,0.03018
7460,24,17,8,9,0.03017
8223,27,28,8,9,0.03015
8387,28,27,8,9,0.03015
7724,25,25,9,10,0.03012
2211,5,21,1,1,0.0301
6421,21,5,1,1,0.0301
8625,29,29,12,12,0.03008
1020,3,3,2,1,0.03004
9418,34,34,4,4,0.03
7825,26,9,1,1,0.0299
2205,5,19,5,7,0.0299
1017,3,3,1,3,0.0299
5442,16,21,1,1,0.02985
3616,9,8,4,4,0.02985
4458,12,33,6,8,0.02985
6330,19,27,10,13,0.02979
5414,16,17,8,9,0.02979
3571,9,4,4,4,0.02974
9663,35,35,4,4,0.02971
4087,10,21,1,1,0.02963
