,5rm2_A_fpocket,5rm2_B_fpocket,5rm2_A_p2rank,5rm2_B_p2rank,IoU
561,10,1,11,1,0.0068
68,1,4,2,3,0.006756
71,1,4,11,1,0.00671
89,1,6,11,1,0.00671
61,1,3,14,7,0.00671
442,5,3,11,1,0.006668
182,2,1,12,10,0.006622
213,2,3,4,1,0.006622
175,2,1,3,10,0.006622
568,10,3,2,3,0.006622
55,1,3,10,10,0.00658
371,4,1,18,15,0.00658
218,2,3,12,3,0.006535
154,1,21,5,1,0.006535
183,2,1,13,1,0.006493
176,2,1,4,1,0.006493
667,13,1,2,7,0.006493
66,1,3,18,15,0.006493
207,2,3,1,3,0.006493
74,1,5,5,1,0.00645
856,24,2,5,1,0.00645
76,1,5,11,1,0.00645
858,24,3,5,1,0.00641
157,1,24,5,1,0.00641
381,4,3,11,1,0.00633
49,1,3,4,1,0.00629
217,2,3,11,1,0.00629
123,1,11,2,7,0.00625
857,24,2,5,3,0.00625
59,1,3,13,1,0.00625
438,5,1,11,1,0.00625
378,4,3,2,3,0.00625
373,4,2,2,3,0.00625
853,24,1,5,1,0.00621
180,2,1,11,1,0.006172
367,4,1,2,3,0.006134
